Page,Section,EnglishCommon,LatinSpecies,Length,Voice
67,Grebes,Red-necked Grebe,Podiceps grisegena,40-50cm,Mostly silent. Surprisingly loud hooting or wailing song given in courtship and territorial encounters during the breeding season.
68,Grebes,Slavonian Grebe,Podiceps auritus,31-38cm,"Mostly silent. It has a hard, guttural trill during courtship. It also has various threat and contact calls while breeding."
69,Grebes,Black-necked Grebe,Podiceps nigricollis,28-34cm,"A chittering trill and a plaintive ""wheeooo wheeooo"" are heard at breeding sites. It is mostly silent at other times."
70,Shearwaters,Sooty Shearwater,Puffinus griseus,40-51cm,"Mostly silent while at sea, but raucous calls and screams have been reported."
71,Shearwaters,Cory's Shearwater,Calonectris diomedea,45cm,It is mostly silent away from its breeding colonies.
72,Shearwaters,Manx Shearwater,Puffinus puffinus,31-36cm,"At sea it is generally silent. At the nest it has a variety of weird calls, including crowing, cooing, howls and screams."
73,Shearwaters,Balearic Shearwater,Puffinus mauretanicus,34-39cm,Migrants are either silent or out of hearing range.
74,Petrels,Storm Petrel,Hydrobates pelagicus,14-18m,"Usually silent except a breeding colonies where males make a far-carrying, purring ""a-rrrrrr"" call from their burrows."
75,Petrels,Leach's Petrel,Oceanodroma leucorhoa,19-22cm,"Usually silent at sea. Loud calls at breeding colonies variously described as 'musical', 'crooning', 'churring' and 'purring' or a crowing ""her-kitti-werke""."
76,Cormorants,Cormorant,Phalacrocorax carbo,80-100cm,"Noisy at breeding sites and in roosts. Loud guttural ""agock-agock-agock"" call made by adults, but mostly silent at other times."
77,Cormorants,Shag,Phalacrocorax aristotelis,65-80cm,Mostly silent. At nest it makes a series of grunts and clicks.
78,Fulmar,Fulmar,Fulmarus glacialis,45-50cm,Pairs cackle to each other on their nests and feeding flocks cackle raucously - otherwise silent.
79,Gannet,Gannet,Mous bassanus,87-100cm,"Dry, cackling calls from feeding groups. Noisy at colonies with growls, especially when greeting mates at the nest."
80,Egrets,Little Egret,Egretta garzetta,55-65cm,Usually silent except at breeding colonies when it makes a variety of croaking and quacking calls.
81,Egrets,Cattle Egret,Bubulcus ibis,48-53cm,"Away from breeding colonies and roosts it is often silent. Adult make a harsh croaking ""rick-rack"" call and a short harsh ""raa"" call when defending nesting areas from predators and rivals."
82,Egrets,Great White Egret,Ardea alba,85-102cm,Generally silent. When breeding it may make low-pitched grunts or croaks and some deep cawing sounds.
83,Herons,Grey Heron,Ardea cinerea,90-98cm,"Usually silent, apart from loud ""frank"" or ""kaark"" call, often given in flight. At nesting colony there are a variety of croaking calls."
84,Herons,Purple Heron,Ardea purpurea,78-90cm,"Usually silent but does have a hoarse croak, rather like Grey Heron."
85,Herons,Bittern,Botaurus stellaris,70-80cm,"The ""boom"" of the male is heard from January to April, especially at dawn and dusk. The sound is rather like the noise that comes from blowing across the top of a glass bottle! It is resonant, and travels up to 5 km. It also gives a harsh ""aark, aark""."
86,Herons,Little Bittern,Ixobrychus minutus,33-38cm,"In spring males call in early morning or late evening with a low, dog-like bark ""hogh"". This note may be repeated 25 times a minute for up to 30 minutes. A soft ""quer, quer"" is heard from adults approaching young, and young make a crow-like ""kraar - kraar""."
87,Herons,Spoonbill,Platalea leucorodia,80-90cm,Generally silent; even in a nesting colony the main sounds are an occasional deep grunting and bill snapping.
90,Osprey,Osprey,Pandion haliaetus,55-58cm,"Usually silent but near the nest a shrill ""pieu-pieu-pieu""."
91,Buzzards,Honey-buzzard,Pernis apivorus,52-60cm,"Generally silent, but make a piping ""pi-aa"" in the breeding season."
92,Buzzards,Buzzard,Buteo buteo,51-57cm,"Call a mewing ""peee-uu"", which may be hear at any time of the year."
93,Buzzards,Rough-legged Buzzard,Buteo lagopus,50-60cm,"The most frequent call is a far-carrying and rather mournful ""peeeeooo""."
94,Harriers,Hen Harrier,Circus cyaneus,44-52cm,"Silent except when nesting when it makes rapid ""yikkering"" call during sky-dance display and various other scolding calls."
95,Harriers,Montagu's Harrier,Circus pygargus,43-47cm,"Generally silent, except when nesting. At nest it has a chattering ""yick-yick-yick"" call that is higher-pitched than that of a Hen Harrier."
96,Harriers,Marsh Harrier,Circus aeruginosus,48-56cm,"Mostly silent, but during courtship displays the adults have wailing ""kweooo"" call."
97,Kite,Red Kite,Milvus milvus,60-66cm,"The call is a shrill, mewing ""peeee-ooow""."
98,Eagles,White-tailed Eagle,Haliaeetus albicilla,70-90cm,"It makes a dog-like yapping, high-pitched woodpecker-like ""kew, kew, kew, kew"" and a quieter ""ko-ko-ko"". Most calls are made near the nest or during courtship."
99,Eagles,Golden Eagle,Aquila chrysaetos,75-88cm,"Generally silent, but sometimes makes a ""yelp""ing call."
100,Hawks,Goshawk,Accipiter gentilis,48-62cm,"Most calls are heard close to the nest or when displaying. The most frequent is ""gek-gek-gek"", which is also given when birds are alarmed."
101,Hawks,Sparrowhawk,Accipiter nisus,28-38cm,"Silent for most of the year. When nesting, most common call is a shrill ""ke-ke-ke-ke""."
102,Falcons,Kestrel,Falco tinnunculus,32-35cm,"Usually silent. Most common call is a shrill ""kee-kee-kee"" that is most usually heard near the nest."
103,Falcons,Merlin,Falco columbarius,25-30cm,"Usually silent, but near the nest the shrill ""kek-kek-kek-kek"" call may be hear when the bird is excited or is chasing off intruders such as crows."
104,Falcons,Hobby,Falco subbuteo,30-36cm,"Usually silent except for shrill ""kyew, kew, kew, kew, kew"" calls made in the vicinity of the nest."
105,Falcons,Peregrine,Falco peregrinus,36-48cm,"Usually silent, but may be noisy at nest. If female is disturbed she produces a grating ""scraa, scraa, scraa"", often building a crescendo. Male's call is higher."
106,Rails and crakes,Water Rail,Rallus aquaticus,23-28cm,"Makes a variety of grunts and squeals during the day and night. Most obvious call is a drawn-out, squealing shriek rather like a piglet."
107,Rails and crakes,Spotted Crake,Porzana porzana,22-24cm,"Usually silent during the day, but adults call at dusk and throughout the night in the spring. The call is a rapid ""whit, whit"", repeated at approximately 1 second intervals and likened to a whip cutting through the air."
108,Rails and crakes,Moorhen,Gallinula chloropus,32-35cm,"Wide range of calls, the most familiar being a loud abrupt ""kurr-uk"" that seems to echo across the water. It makes other harsh, croaking calls."
109,Rails and crakes,Coot,Fulica atra,36-38cm,"The most usual call is a loud single note, ""kowk"", that may be heard during the day and at night."
110,Rails and crakes,Corncrake,Crex crex,37-30cm,"The distinctive song, ""crex-crex"", is mostly heard at dusk and during the night. It has been likened to drawing a comb across a matchbox and is the origin of the Corncrake's scientific name."
111,Crane,Crane,Grus grus,110-120cm,"A loud clanging, trumpeting note is given in flight and on the ground."
116,Oystercatcher,Oystercatcher,Haematopus ostralegus,40-45cm,"Usually a loud, shrill, piping ""kleep, kleep""."
117,Avocet,Avocet,Recurvirostra avosetta,42-45cm,"Usually silent away from nest. Most common call is pleasant ""clute, clute"", which becomes more urgent and strident if the bird is seriously alarmed."
118,Plovers,Stone-curlew,Burhinus oedicnemus,40-44cm,"Wailing ""coo-leee"" call is reminiscent of a rather shrill Curlew. Vocal at night, especially dusk."
119,Plovers,Dotterel,Charadrius morinellus,20-22cm,"Not generally a noisy species, but if disturbed it makes a ""wet-e-wee"" call. Migrants make contact calls which carry a long way, ""pilk, pilk, pilk"" or a soft ""kwip""."
120,Plovers,Little Ringed Plover,Charadrius dubius,14-15cm,"Most usual call heard from breeding birds is a loud ""pee-u"" that is often given in flight. It also makes a rapidly repeated ""pip-pip-pip"" and a repeated ""greea"" call during its songflight."
121,Plovers,Ringed Plover,Charadrius hiaticula,18-20cm,"Call a distinctive low whistle, ""toolip"". Song during its display flight is yodelling ""t'lew, t'lew, t'lew""."
122,Plovers,Golden Plover,Pluvialis apricaria,26-29cm,"Most usual call I lonely-sounding ""u-we"". Songflight has a longer, far-carrying ""per-we-oo-, per-weeoo""."
123,Plovers,Grey Plover,Pluvialis squatarola,27-30cm,"Most usual call is a lonely-sounding and far-carrying ""plu-oo-wee"", often given in flight."
124,Plovers,Lapwing,Vanellus vanellus,28-31cm,"Call, from which it gets its alternative name of Peewit, is a rather wheezy, drawn-out ""pee-wit"". The song that accompanies its display is ""pee-wit, wit, wit-eeze wit""."
125,Sandpipers,Ruff,Philomachus pugnax,"male 26-30cm, female 20-24cm ","Generally very silent, even when lekking, but it can make a low ""tu-wit"" especially when disturbed."
126,Sandpipers,Dunlin,Calidris alpina,16-20cm,"Usual flight call is rough ""treep"". Display song on breeding grounds is a piping trill."
127,Sandpipers,Knot,Calidris canutus,23-25cm,"Most frequent call is a low-pitched ""knut"" and a higher-pitched ""quick-ick"", usually given when it takes flight."
128,Sandpipers,Little Stint,Calidris minuta,12-14cm,"When disturbed it will give a ""chit"" or ""tit"" cll that is repeated about three times."
129,Sandpipers,Temminck's Stint,Calidris temminckii,13-15cm,"When disturbed, takes off with a loud, dry trilling ""tirr-tirrr-tirr""."
130,Sandpipers,Pectoral Sandpiper,Calidris melanotos,19-23cm,"The normal flight call is a dry, grating ""kreet""."
131,Sandpipers,Curlew Sandpiper,Calidris ferruginea,18-19cm,"The most common flight call is a rippling, dry ""chirrup""."
132,Sandpipers,Sanderling,Calidris alba,20-21cm,"Call given in flight or when flushed is a liquid ""twick, twick""."
133,Sandpipers,Woodcock,Scolopax rusticola,33-35cm,"When roding it has two to four frog-like croaks, followed by a thin but far-carrying ""tsiwick, tsiwick""."
134,Sandpipers,Jack Snipe,Lymnocryptes minimus,17-19cm,"Usually silent outside the breeding season. At nesting time it produces a range of display-flight calls including some sounding like a cantering horse - ""kollarap, kollarap, kollarap""."
135,Sandpipers,Snipe,Gallinago gallinago,25-27cm,"In addition to drumming, it has a rapid ""chip-er, chip-er"" alarm call in spring, used in flight and when perched. It also makes a loud rasping ""scaap"" when disturbed."
136,Sandpipers,Purple Sandpiper,Calidris maritima,20-22cm,"Although usually silent, flocks sometimes make a Swallow-like twittering ""wee-wit"" as they take off."
137,Sandpipers,Turnstone,Arenaria interpres,22-24cm,"Usual call in flight is a rather metallic, twittering ""kit-it-it"". It also has rippling song on breeding grounds that ends in rattling ""quitta, quitta, quitta""."
138,Sandpipers,Black-tailed Godwit,Limosa limosa,40-44cm,"Most common call is loud clear ""weeka-weeka-weeka""."
139,Sandpipers,Bar-tailed Godwit,Limosa lapponica,37-39cm,"Flight note in flocks is a low, nasal ""kirruc, kirruc""."
140,Sandpipers,Whimbrel,Numenius phaeopus,40-42cm,"The commonly heard call is a rippling whistle ""pe,pe,pe,pe,pe,pe,pe"". Sometimes known as the ""Seven Whistler"" on account of the usual number of notes. On its breeding grounds it has a bubbling call, rather like a Curlew."
141,Sandpipers,Curlew,Numenius arquata,50-60cm,"Common call is a distinctive ""cour-eee"" from which it gets its common name. In spring, songflight is accompanied with lonely-sounding, bubbling trill."
142,Sandpipers,Spotted Redshank,Tringa erythropus,29-31cm,"Usual flight call is a loud and distinctive ""chu-it""."
143,Sandpipers,Redshank,Tringa totanus,27-29cm,"Noisy and nervous wader that alerts other birds to approaching danger with ringing ""tew, tew"" all. In spring, has a yodelling ""tu-udle, tu-udle"" that accompanies display flight."
144,Sandpipers,Greenshank,Tringa nebularia,30-33cm,"Loud, ringing ""tew, tew, tew"" call is often given in flight. Also has a rich ""ru-tu, ru-tu, ru-tu"" song in spring."
145,Sandpipers,Wood Sandpiper,Tringa glareola,19-21cm,"Most common call is a rather dry ""chiff-iff-iff"", usually give in flight."
146,Sandpipers,Common Sandpiper,Actitis hypoleucos,19-21cm,"Call is a shrill ""tee wee wee"", usually given in flight as an alarm all. Song is a twittering version of the flight call."
147,Sandpipers,Green Sandpiper,Tringa ochropus,21-24cm,"When disturbed it frequently makes a distinctive ""tweet, weet, weet"" call in flight - the last two notes being higher-pitched."
148,Phalaropes,Red-necked Phalarope,Phalaropus lobatus,18-19cm,"Most common call is a sharp ""twit"", or ""whit"" given in fight or on the water."
149,Phalaropes,Grey Phalarope,Phalaropus fulicarius,20-22cm,"Common call is a low ""wit"". Also a ""zhit"" call given when a bird is disturbed."
150,Skuas,Artic Skua,Stercorarius parasiticus,41-46cm,"Generally silent. When breeding, most common call is mewing ""ka-aaow""."
151,Skuas,Long-tailed Skua,Stercorarius longicaudus,48-53cm,Generally silent when not nesting.
152,Skuas,Pomarine Skua,Stercorarius pomarinus,46-51cm,Generally silent outside its breeding grounds.
153,Skuas,Great Skua,Catharacta skua,53-58cm,"Usually silent away from reeding grounds. Main calls are a loud ""gek-gek"" during attacks on intruders and a rolling ""hah-hah-hah""."
156,Gulls,Mediterranean Gull,Larus melanocephalus,36-38cm,"Most common call is a distinctive ""kow-ah"", deeper than that of Black-headed Gull."
157,Gulls,Black-headed Gull,Chroicocephalus ridibundus,34-37cm,"The commonly heard call is a rather harsh ""kree-aaa""."
158,Gulls,Herring Gull,Larus argentatus,55-67cm,"Includes the 'long call', throwing its head back in a series of cries, and a short ""kyow, kyow, kyow""."
159,Gulls,Yellow-legged Gull,Larus michaehellis,55-67cm,"The ""kyow"" call is more nasal and deeper than Herring Gull, rather similar to Lesser Black-backed."
160,Gulls,Iceland Gull,Larus glaucoides,52-60cm,The call is similar to that of a herring gull but more shrill.
161,Gulls,Glaucous Gull,Larus hyperboreus,62-68cm,Generally silent in winter. Its call sounds similar to that of the Herring Gull.
162,Gulls,Lesser Black-backed Gull,Larus fuscus,52-67m,"A rather gruff ""kaw"" and rough laughing cries, ""ga ga gag""."
163,Gulls,Great Black-backed Gull,Larus marinus,64-78cm,"Call is a rather gruff bark, ""uk, uk, uk""."
164,Gulls,Common Gull,Larus canus,40-42cm,"Call is higher-pitched than other gulls, an almost mewing ""keee-ya""."
165,Gulls,Kittiwake,Rissa tridactyla,38-40cm,"Around its breeding cliffs, it shouts its ""kitti-waaark"" call from which it gets its name. At other times it is rather silent."
166,Gulls,Little Gull,Hydrocoloeus minutus,25-27cm,"Not normally very vocal but has a ""kek, kek, kek"" call."
167,Gulls,Sabine's Gull,Larus sabini,27-32cm,It has a single harsh note rather like an Arctic Tern's call.
168,Terns,Sandwich Tern,Sterna sandvicensis,36-41cm,"Noisy, the most common call being a loud grating ""keer-ick""."
169,Terns,Roseate Tern,Sterna dougallii,33-38cm,"The calls include a loud ""chew-ik"" and a rasping ""kraak""."
170,Terns,Common Tern,Sterna hirundo,31-35cm,"Most common call is a loud, rasping ""keee-yaah""."
171,Terns,Arctic Tern,Sterna paradisaea,33-35cm,"Call a slightly higher-pitched version of Common Tern's call, a harsh, scolding ""kee-aar""."
172,Terns,Little Tern,Sterna albifrons,22-24cm,"The most frequent call is a loud, shrill ""kik-kik""."
173,Terns,Black Tern,Chlidonias niger,22-24cm,"Usually silent, only very occasionally calling a sharp ""kik, kik""."
174,Auks,Guillemot,Uria aalge,38-41cm,"Usual call is a growling ""arrrr""."
175,Auks,Razorbill,Alca torda,37-39cm,"The call is growling ""caarrrrr"" and the juvenile has a plaintive whistle."
176,Auks,Black Guillemot,Cepphus grylle,30-32cm,"Mostly silent, but makes a weak, high-pitched whistle ""peeeeeh"" at breeding sites."
177,Auks,Puffin,Fratercula arctica,26-29cm,"Generally silent, but at the colonies it makes a low growling ""arrrh"" often repeated to sound like hoarse laughter."
178,Auks,Little Auk,Alle alle,17-19cm,It is usually away from its breeding grounds. At colonies it makes noisy chattering calls.
179,Pigeons,Rock Dove / Feral Pigeon,Columba livia,31-34cm,"Call during display is a gentle ""orr-roo-cooo""."
180,Pigeons,Stock Dove,Columba oenas,32-34cm,"The song is a soft, deep ""ooo-woo, ooo-woo""."
181,Pigeons,Woodpigeon,Coumba palumbas,40-42cm,"Call is a soft, restful ""orr-oo-cooo, orr-oo-oo-coo""."
182,Pigeons,Collared Dove,Streptopelia decaocto,31-33cm,"It has a harsh, excited ""kwur"" call. The song is a loud and repetitive ""coo-cooo-cuk, coo-cooo-cuk""."
183,Pigeons,Turtle Dove,Streptopelia turtur,26-28cm,"Song is a loud, lazy, cat-like purring that is given from a perch between May and July."
184,Parakeet,Ring-necked Parakeet,Psittacula krameri,38-42cm,"The call is a loud screech ""kee-ak"" that may be given from a perch, but is often made by flying birds."
185,Cuckoo,Cuckoo,Cuculus canorus,32-34cm,"The call of the male is the famous ""cuc-oo"". It also makes a harsh, laughing ""gwork-gwork-gwork"""
186,Owls,Barn Owl,Tyto alba,33-35cm,"A piercing shriek, especially during courtship. Call for food is a loud ""snore"" made mainly by the young, but also by adults during courtship."
187,Owls,Tawny Owl,Strix aluco,37-39cm,"Song is the familiar hoot ""hooo-hoo-hooo"" of the male used to proclaim his territory and during courtship. Sings in late winter and again in Autumn. Female also has a hoarse version of the hoot. Another common call is a sharp ""kee-wick"",  made by both sexes. Occasionally calls during daylight."
188,Owls,Long-eared Owl,Asio otus,35-37cm,"Makes a wide variety of sounds. Song is a quiet but penetrating low ""hoo-hoo-hoo-hoo"". The small young have jingling calls, but later they make a drawn-out squeak that has been likened to a squeaky gate."
189,Owls,Short-eared Owl,Asio flammeus,37-39cm,"Usually silent, but has a low, hollow ""boo-boo-boo-boo"" and also a hoarse bark."
190,Owls,Little Owl,Athene noctua,21-23cm,"The most frequent call is a sharp, mewing ""kiew, kiew"" that is most common in March and April during courtship when the male also gives a pure, single hoot ""woop""."
191,Nightjar,Nightjar,Caprimulgus europaeus,26-28cm,"Song is a long, drawn-out churring that rises and falls as the bird turns its head. Flight call is a loud, liquid-sounding ""coo-lik""."
192,Swift,Swift,Apus apus,16-17cm,"Usual call is a harsh scream ""screee""."
193,Hoopoe,Hoopoe,Upupa epops,26-28cm,"Call is a soft, low, resonant ""hoop, hoop, hoop"" that carries a surprising distance."
194,Kingfisher,Kingfisher,Alcedo atthis,16-17cm,"Call is a shrill ""chreee"" or a double note ""chee-kee""."
195,Bee-eater,Bee-eater,Merops Apiaster,27-29cm,"A very vocal species that has a distinctive, far-carrying and rather liquid ""pruuk-pruik"" that may have a trill-like quality when several birds are calling at the same time."
196,Woodpeckers,Wryneck,Jynx torquilla,16-17cm,"The most usual call that is heard in spring at its breeding sites, and occasionally on migration, is a falcon-like ""quee, quee, quee"", which is far-carrying and often the only indication that a pair is present."
197,Woodpeckers,Green Woodpecker,Picus viridis,31-33cm,"Call is a ringing, laughing ""queu, queu, queu"", and it also makes  feeble drumming."
198,Woodpeckers,Great spotted Woodpecker,Dendrocopos major,22-23cm,"Sharp and loud ""kick kick"" may be heard throughout the year and is often the best indication of the bird's presence. ""Song"" is an instrumental sound made by drumming with its bill on a branch. The short bursts of drumming last around 5 seconds and accelerate before fading away at the end. Most drumming takes place in late winter and early spring."
199,Woodpeckers,Lesser Spotted Woodpecker,Dendrocopos minor,14-15cm,"Call is a shrill ""pee, pee, pee"" rather like the weak call of a Kestrel. Drumming, heard from February to April and occasionally in autumn, is longer but more rattling and softer than that of the Great Spotted. It does not drop in pitch and fade away like Great Spotted. Alarm call is a quiet, soft ""kick""."
200,Larks,Woodlark,Lullula arborea,15cm,"Song may be heard by day or night from January until August, and especially between March and June. It also sings in the autumn. Song is attractive, sweeter and more musical than a Skylark's song and includes fluty ""lu-lu-lu"" notes. Also a ""titloo-leet"" flight or alarm call."
201,Larks,Skylark,Alauda arvensis,18-19cm,"Chief call is a loud ""chirrup"" often given in flight or when it is alarmed. Song is a long pleasant liquid warbling, usually given in flight, but sometimes from a perch or from the ground."
202,Larks,Shore Lark,Ermophila alpestris,14-17cm,"Voice in winter flocks is a shrill ""tsee-tsi"". On breeding grounds has a warbling Skylark-like song usually given in flight."
203,Swallows and martins,Sand Martin,Riparia riparia,12cm,"Song is a harsh rattling or twittering, given frquently in flight and also when perched. The song is usually associated with courtship, but is also heard at other times."
204,Swallows and martins,Swallow,Hirundo rustica,17-19cm,"The alarm call is a loud ""tswit"" which is often give in flight. The song is a hurried dry twittering trill."
205,Swallows and martins,House Martin,Delichon urbica,12.5cm,"The main call is a hard ""prrit"" and the song is a soft twittering that is heard during the summer."
206,Pipits,Tree Pipit,Anthus trivialis,15cm,"The call is a sharp ""teeze"", often given in flight. Song may be given from a perch"
207,Pipits,Meadow Pipit,Anthus pratensis,14.5cm,"In flight it usually strings three calls together, ""sweet-sweet-sweet"". Song is given during the aerial display and is a series of plaintive and accelerating ""seep, seep"" followed by repeated ""tseut, tseut"" and ending with a trill."
208,Pipits,Water Pipit,Anthus spinoletta,16.5-17cm,"Call is intermediate between the Meadow and Rock Pipit, a loud ""weest"". The song (unusual in Britain) is loud and slightly more musical than a Meadow Pipit."
209,Pipits,Rock Pipit,Anthus petrosus,16.5-17cm,"The call is ""pseep"", more metallic and less squeaky than a Meadow Pipit and often given singly. The song is similar to that of a Meadow Pipit, but is stronger and with a more obvious trill. The song is mainly heard between March and July."
