Page,Family,EnglishCommon,LatinSpecies,Length,Voice,
46,Phasianidae,Spotted Wood-Quail,Odontophorus guttatus,10-12in,"Loud; a low-high-low combination: ""grouww-chow-lo"" or ""hrook-chou-low"", repeated (Chalif). An excited, ringing ""whipa-whipee'o""; repeated, musical (Eisenmann).",
46,Phasianidae,Singing Quail,Dactylortyx thoracicus,8-9in,"Loud clear whistles, beginning with 4 whistles increasing in volume (but decreasing in interval), then 3 to 6 repeated phrases. Call note, ""pitter pititit"" (Chalif).",
46,Phasianidae,Montezuma (Harlequin) Quail,Cyrtonyx montezumae,7-9.5in,A soft whinnying or quavering whistle. Ventriloquial (vaguely suggests Common Screech-Owl).,
48,Meleagrididae,Ocellated Turkey,Agriocharis ocellata,32-40in,"Gobbling utterly unlike that of ""Meleagris"" and may be written as ""ting-ting-ting-co-on-cot-zitl-glung"", the last note having a bell-like quality (Leopold).",
50,Rallidae,Spotted Rail,Pardirallus maculatus,9.5-11in,"A deep, chesty grunting; also a clucking ""tuk-tuk-tuk"" etc., gradually accelerating (Bond).",
50,Rallidae,Gray-necked Wood Rail,Aramides cajanea,14-17in,"A striking cry, heard most often at dawn or dusk; a repeated chickenlike cackle: ""pop-tiyi pop-tiyi co-co-co-co-co"" or ""chittyco chittyco caw-caw-caw"" (Slud).",
52,Heliornithidae,Sungrebe (American Finfoot),Heliornis fulica,11-12in,"A peculiar bark of 1-3 otes (Chalif). Note, ""Kow"", given one or repeated; suggests Pied-billed Grebe (Wetmore).",
53,Eurypygidae,Sunbittern,Eurypyga helias,18-20in,"A mournful, dragging tinamoulike whistle (RTP). A reedy trill; a plaintive piping.",
53,Jacanidae,Northern Jacana,Jacana spinosa,8-9in,"A sharp cackle, especially in flight. Also rasping, chattering, and clacking notes.",
55,Charadriidae,Collared Plover,Charadrius collaris,5-6in,"Note, a sharp meallic ""tsee""; also a slightly rolling ""tur-r-r"" (Wetmore).",
61,Burhinidae,Double-striped Thick-Knee (Mexican Stone Curlew),Burhinus bistriatus,18-20in,"Very noisy at nght. 'A long-continued ""prrrip prrrip prrrip pip pip pip pipipipipipipipip"" (Slud).",
67,Columbidae,White-crowned Pigeon,Columba leucocephala,13.5in,"A low owl-like ""wof, wof, wo, co-woo"" (Maynard).",
67,Columbidae,Red-billed Pigeon,Columba flavirostris,13-14in,"Cooing more drawn out than White-winged Dove's ""who who wooooooo"", long note swelling (RTP).",
67,Columbidae,Pale-vented (Rufous) Pigeon,Columba cayennensis,12-14in,"Sounds like 'Santa Cruz'; 1st  notes (San-ta) short and musical, last note (Cruz) a long ""cooooouu"" (Chalif). ""Coo'oo, ruk-tu-coo'oo"" or ""ruk-tu-coo'oo"" (Eisenmann).",
68,Columbidae,Scaled Pigeon,Columba speciosa,11-13in,"A fairly loud ""hhoo-oo'-hoo""; slightly resonant (Andrle).",
68,Columbidae,Short-billed Pigeon,Columba nigrirostris,10-12in,"""Ooo"", then ""oo-coo-hooooo"", descending on a long drawn note (Chalif). A melancholy, drawn-out ""hoo, cu-cu-coo'oo"", sometimes shortened to ""cook, cuckoo'oo"" (Eisenmann).",
69,Columbidae,Zernaida Dove,Zenaida aurita,10-11in,"A mournful ""cuacoo-coo-coo"" like a Mourning Dove but slightly more curtailed; also a short ""oaa-oo"" (Bond).",
69,Columbidae,White-winged Dove,Zenaida asiatica,11-12.5in,"A harsh cooig, ""who cooks for you?""; also ""ooo-uh-cuck'oo"". Sounds vaguely like crowing of young rooster.",
69,Columbidae,Inca Dove,Scardafella inca,7-9in,"2 notes on same pitch, ""coo-hoo"" or *no hope* (RTP).",
69,Columbidae,Common Ground-Dove,Columbina passerina,6-6.75in,"A soft monotonously repeated ""woo-oo"". In distance sounds monosyllabic: ""wooo"", with rising inflection (RTP)>",
69,Columbidae,Plain-breasted Ground-Dove,Columbina minuta,5-6in,"A rather fast ""whoop-whoop-whoop"", etc. 10-30 times, often given without pause; speed varies (Eisenmann).",
70,Columbidae,Ruddy Ground-Dove,Columbina talpacoti,6-7in,"""Whoop"" or ""per-woop"", repeated 2-24 times (Chalif).",
70,Columbidae,Blue Ground-Dove,Claravis pretiosa,7-8in,"A single ""woop"" or sometimes ""poooop"", repeated after a pause (Eisenmann). A single deep ""hawp"" or ""hoop"" (Slud).",
70,Columbidae,Maroon-Chested Ground-Dove,Claravis mondetoura,8-9in,"A deep ""woop-woop-woop"", etc., similar to that of Blue Ground-Dove, but much shorter intervals (Eisenmann).",
71,Columbidae,White-tipped (White-fronted) Dove,Leptotila verreauxi,10-12in,"A low, soft, ghostly ""oo-whooooooo""; at a distance only the hollow drawn-out ""whooooo"" is audible (RTP).",
71,Columbidae,Caribbean (White-bellied) Dove,Leptotila jamaicensis,12-13in,"A plaintive ""cu-cu-cu-oooo"" (Bond).",
71,Columbidae,Gray-headed Dove,Leptotila plumbeiceps,9-11in,"A short, hollow ""cooooo"" (Smithe).",
71,Columbidae,Gray-chested (Cassin's) Dove,Leptotila cassinii,9.5-11in,"A sorrowful ""oooo"", almost on 1 pitch (Chalif).",
72,Columbidae,Purplish-Backed Quail-Dove,Geotryon lawrencii,10in,"A fairly soft, low-pitched ""who-who'-oo"", last syllable slurred downward (Andrle).",
72,Columbidae,Ruddy Quail-Dove,Geotrygon montana,8-10in,"A low humming ""mmmm"", at 0.5-second intervals (Eisenmann); a prolonged, booming note, suggesting fog buoy (Bond).",
72,Columbidae,White-faced Quail-Dv,Geotrygon albifacies (linearis),11-13in,"Deep and very loud notes heard at rare intervals (Dickey and van Rossem). A booming ""whoooooo"" (Parker).",
73,Psittacidae,Military Macaw,Ara militaris,27-30in,Loud raucous cries.,
73,Psittacidae,Scarlet Macaw,Ara macao,34-38in,"Harsh calls - ""rrraaaa"" (Haverschmidt).",
73,Psittacidae,Green Parakeet,Aratinga holochlora,10-12in,"Sharp, squeaky notes, shrill noisy chatter.",
74,Psittacidae,Aztec (Olive-throated) Parakeet,Aratinga astec,9-10in,"Noisy, shrieking chatter.",
74,Psittacidae,Orange-fronted Parakeet,Aratinga canicularis,9-10in,"Raucous, screechy; ""can-can-can"" or ""ca-ca-ca"" (Slud).",
74,Psittacidae,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,15-16in,"Squawks, screeches. Audible more than ile (Wetmore).",
75,Psittacidae,Barred Parakeet,Bolborhynchus lineola,6-7in,"In flight, cries suggestive of small songbirds (Slud).",
75,Psittacidae,Blue-rumped (Mexican) Parrotlet,Forpus cyanopygius,5-5.5in,"Constant chattering in flight, quiet when perched.",
75,Psittacidae,Orange-chinned (Tovi) Parakeet,Brotogeris jugularis,6-7in,"In flight, a shrill noisy chattering. A scratchy ""ra-a-a-a-a-a-a-a"" or ""ack-ack-ack"", etc. (Slud). A semimusical ""week, week, kweekee'roo, kee'roo, kee'roo"", etc. (Eisenmann).",
75,Psittacidae,Brown-hooded Parrot,Pionopsitta haematotis,8-9in,"High-pitched, including a thin, unparrotlike ""tseek"", and a ""cheek-cheek"" varied to ""check-check"" (Eisenmann).",
76,Psittacidae,White-crowned Parrot,Pionus senilis,9-10in,"Noisy, screeching calls.",
76,Psittacidae,White-fronted Parrot,Amazona albifrons,9-10in,"A noisy yapping, ""ak-ak-ak"" or ""yap-yap-yap"".",
76,Psittacidae,Red-crowned Parrot,Amazona viridigenalis,11-13in,"A harsh ""kree-o, krak-krak-krak"" (RTP).",
77,Psittacidae,Red-lored (Yellow-cheeked) Parrot,Amazona autumnalis,12-13in,"Noisy; ""kyake kyake kyake"", etc., or ""yoik yoik yoik"", etc., ""ack-ack"" or ""eck-eck"", etc. (Slud).",
77,Psittacidae,Yellow-headed Parrot,Amazona ochrocephala,12-15in,Raucous cries; often with a human quality.,
78,Psittacidae,Mealy (Blue-crowned) Parrot,Amazona farinosa,14-16in,"Noisy; a rolling ""krrrillik, krrrillik"", etc., and a raucous ""chowk, chowk"", etc. (RTP). Flight calls usually include a ""chop-chop"" phrase (Schwartz) or ""kyup-kyup"" (Eisenmann).",
78,Cuculidae,Mangrove Cuckoo,Coccyzus minor,11-13in,"A deep throaty, rather deliberately uttered ""gaw-gaw-gaw"", etc. (Bond). Call of Yellow-bill is faster.",means Yellow-billed Cuckoo here
79,Cuculidae,Squirrel Cuckoo,Piaya cayana,17-19in,"A series of 5-10 slow whistling ""yeep's""; also ""ya-aaa"" (Chalif). ""Geep-kareer"", suggestive of call of Kiskadee; also a loud clear series ""whep, whep, whep"", etc. (Eisenmann).",
79,Cuculidae,Groove-billed Ani,Crotophaga sulcirostris,13in,"A repeated ""whee-o"" or ""tee-ho"" (1st note slurring up and thin, 2nd lower); in flight a low chuckling note (RTP).",
79,Cuculidae,Striped Cuckoo,Tapera naevia,11-12in,"A high clear 2-note whistle, ""feen-feeen"" (2nd note half a tone higher), repeated at steady intervals (Chalif). A melancholy, repeataed ""puu-peee"", etc. (Eisenmann). Also a melancholy series of 4 short whistles, last lower in pitch (Land). The bird responds to an imitation of its call.",
79,Cuculidae,Pheasant Cuckoo,Dromococcyx phasianellus,14-15in,"Resembles 2-note whistle of Striped Cuckoo, but with a 3rd trilled note, ""puu, peee, pr'r'r'r"" (Eisenmann). A 3-note whistle, ""whoo-hee-wer'r'r'r'r"", the 2nd higher, the 3rd with a tinamou-like quaver (Willis).",
79,Cuculidae,Lesser Ground-Cuckoo,Morococcyx erythropygus,10-11in,"A series of short burbling whistles, suggestive of a referee's whistle: ""prrr-rrr-prrr-prrrr"", etc.; series dropping slightly in pitch and slowing in interval (RTP).",
79,Cuculidae,Lesser Roadrunner,Geococcyx velax,17-20in,"Softer than Greater Roadrunner's; a soft mournful ""coo"" given 4 times in descending scale (Chalif).",
82,Tytonidae/Strigidae,Balsas Screech-Owl,Otus seductus,NA,"Similar to 'bouncing ball' song of Common Screech-Owl of w. U.S., but much louder, with a gruff threatening quality. Also a trill or double tril.","also mentions ""(or O. asio in part)"" in species name"
82,Tytonidae/Strigidae,Pacific Screech-Owl,Otus cooperi,NA,"A series of 13-15 short notes rising in pitch then dropping to starting pitch. A loud, gruff, slow trill of threatening quality; the notes sound like ""pup-pup-pup"", etc. (Marshall).","also mentions ""(or O. asio in part)"" in species name"
82,Tytonidae/Strigidae,Whiskered (Spotted) Screech-Owl,Otus trichopsis,6.5-8in,"""Boobooboo-boo, bobooboo-boo"", etc. (3 ""boo""'s, a pause and a ""boo""); the arrangement of this 'code' may vary. At times a repeated 4-syllabled ""chooyoo-coocooo"", vaguely suggestive of White-winged Dove; also a rapid series of 1 pitch ""boo boo boo boo boo boo boo boo"", usually slowing toward end (RTP). A syncopated duetting of short and long notes like Morse code, all on the same pitch. Usual phrase, 2 'dots' and 3 'dashes' delivered thrice and termined with an extra 'dash' (Marshall).",
83,Tytonidae/Strigidae,Bearded (Bridled) Screech-Owl,Otus barbarus,6.5in,"A short trill like cricket. Very faint. Also little, single, inflected, plaintive whistles (Marshall).",
83,Tytonidae/Strigidae,Vermiculated (Guatemalan) Screech-Owl,Otus guatemalae,8-9in,"A tremulous series of quavering notes rising to a crescendo, then cutting off sharply. Suggests call of eastern form of Common Screech-Owl (Land). Song, a long trill on 1 pitch, like a spadefoot toad, starting softly, gradually swelling, then it cuts off abruptly (Marshall).",
84,Tytonidae/Strigidae,Crested Owl,Lophostrix cristata,16-17in,"A peculiar growling, somewhat froglike ""k'k'k'k'-krrrrrr""; or at a distance, ""grrrrrr"" (Eisenmann).",
84,Tytonidae/Strigidae,Spectactled Owl,Pulsatrix perspicillata,17-20in,"A deep abrupt ""bu hu hu"" or ""bu hu hu hui"", easily imitated (Wetmore). A long-continued rapid series of chucks, similar to rapid tapping of a woodpecker (Anthony).",
84,Tytonidae/Strigidae,Northern Pygmy-Owl,Glaucidium gnoma,NA,"Northern Pygmy-Owl gives a single took every 2-3 seconds, also a series: ""too-too-too-too-too-too-too-too"", ending with a slow ""took, took, took"".",
84,Tytonidae/Strigidae,Least Pygmy-Owl,Glaucidium minutissimum,5-6in,"Note is ""poop"", whistled 1-12 times (Slud). Similar to voice of Northern Pygmy-Owl but notes higher-pitched, series shorter.",compares to Northern Pygmy-Owl and Ferruginous Pygmy-Owl
85,Tytonidae/Strigidae,Ferruginous Pygmy-Owl,Glaucidium brasilianum,6.5-7in,"A mellow staccato whistle, ""poop"" or ""purp"" or ""poip"", often repeated rapidly and monotonously 2-3 times per second (RTP). Calls in daytime as well as night. (Ferruginous Pygmy Owl gives a more rapid ""poop"" or ""purp"" or ""poip"", 2-3 per second, a great many times.)",bracketed section taken from entry of Least Pygmy-Owl
85,Tytonidae/Strigidae,Elf Owl,Micrathene whitneyi,5-6in,"A rapid high-pitchd ""whi-whi-whi-whi-whi-whi"" or ""chewk-chewk-chewk-chewk"", etc., becoming higher, more yipping, puppylike, and chattering in middle of series (RTP).",
86,Tytonidae/Strigidae,Mottled (Wood) Owl,Ciccaba virgata,12-15in,"""Waaa-a'-oooo""; harsh and mournful, increasing in pitch and volume, then decreasing. Also ""boo, boo-ab, boo-ab, boo-ab, boo-ab, boo-ab"" (Chalif). A downward modulated ""hoot""; a semiwhistled screech; a gruff growl (Eisenmann).",
86,Tytonidae/Strigidae,Black-and-White Owl,Ciccaba nigrolineata,15-16in,"A loud, drawn-out, catlike ""whee-u-u-u"" (Ingles). A resonant, low-pitched ""whoo, whoo, whoo"" (Eisenmann).",
86,Tytonidae/Strigidae,Fulvous Owl,Strix fulvescens,16-17in,"Hooting, similar to that of Barred Owl.",
87,Tytonidae/Strigidae,Striped Owl,Rhinoptyx clamator,13-15in,"A barking hoot, ""ow, ow, ow, ow"" often increasing in loudness. A loud, penetrating ""keeeeeeyou"" (Eisenmann).",
87,Tytonidae/Strigidae,Stygian Owl,Asio stygius,15-17in,"A loud ""hu"" or ""hu-hu"" (Bond).",
87,Tytonidae/Strigidae,Unspotted Saw-Whet Owl,Aegolius ridgwayi,7-7.5in,"A series of 10 mellow whistles, each distinct, but not staccat. Much softer than whistle of Ferruginous Pygmy-Owl (Marshall).",
88,Nyctibiidae,Great Potoo,Nyctibius grandis,18.5in,"A harsh, uncouth, grating sound, ""wah-h-h oo-oo-oo"", strongly guttural; unbirdlike (Wetmore).",
88,Nyctibiidae,Common Potoo,Nyctibius griseus,14-17in,"A guttural ""how-wow""; also a hoarse ""waark-cucu"" (Bond). Also a series of loud, sustained notes becoming slightly softer at the end, ""wah-wah-wah-wah-wu-wu-susu""; something between a wail and a laugh (Chalif). Bids from sw. Costa Rica to S. America utter extremely sweet plaintive whistles dropping in pitch (""poor-me-one""); not recorded in our area.",
89,Caprimulgidae,Pauraque,Nyctidromus albicollis,11-12in,"At night, a hoarse whistle, ""pur-we'eeeeer""; sometimes with 1 or 2 preliminary notes (""pup pup pur-we'eeeeer""). At a distance only the breezy ""we'eeeeer"" is heard (RTP).",
90,Caprimulgidae,Yucatan Poorwill,Otophanes yucatanicus,7.5-8in,"""Ree'-o-ree'"", rising in intensity on 1st and last syllables, dropping abruptly on middle syllable. Produced rapidly and several time sin succession (Paynter).",
90,Caprimulgidae,Tawny-collared Nightjar (Chip-Willow),Caprimulgus salvini,10in,"Somewhat similar to that of Common Poorwill. A rapidly repeated ""chuck-will"" (Chalif) or ""chip-willow"" (Sutton). Yucatan birds utter a single vibrato ""will"" in series (Davis).",
91,Caprimulgidae,Buff-collared Nightjar (Cookacheea),Caprimulgus ridgwayi,8.5-9in,"Unbirdlike. A rapid, staccato, insectlike series, ending on an emphatic phrase in a higher pitch: ""cuk-cuk-cuk-cu-cuk-cuk-cuk-cukacheea"" (Davis).",
91,Caprimulgidae,Spot-tailed Nightjar (Pit-sweet),Caprimulgus maculicaudus,7-7.5in,"A loud, high-pitched passerine-like ""pit-sweet"" or ""spit-sweet"" (Zimmerman).",
92,Apodidae,White-collared Swift,Streptoprocne zonaris,8-8.5in,"A shrill ""screee-screee"", reminiscent of European Swift (Bond). A loud explosive ""cheeach"" (Chalif).",
94,Apodidae,Lesser Swallw-tailed Swift,Panyptila cayennensis,5in,"Call, a low chatter (Wetmore), ""dzip-dzip-dzip"".",
94,Trochilidae,Long-tailed Hermit,Phaethornis superciliosus,6-6.5in,"Rapid twitters. Song, a single squeaky ""sree"" repeated monotonously (Skutch).",
94,Trochilidae,Little Hermit,Phaethornis longuemareus,3.5in,"Squeaky. Song, a deliberate ""chip-chip-chip-chip"" followed by a rapid higher-pitched ""do-da-do-a-da"" (Smithe).",
94,Trochilidae,Scaly-breasted Hummingbird,Phaeochroa cuvierii,4.5-5.5in,"High-pitched squeaks and rattles. Song, a musical trill: ""chee-twee-twee-twee-twee-trill-chup-chup"" (Skutch); or ""stchip-stchip-stchip sku'r wee"" (Slud).",
94,Trochilidae,Wedge-tailed Sabrewing,Campylopterus curvipennis,5-5.5in,"Spirited, chippering squeals, squeaks (Sutton).",
96,Trochilidae,Violet Sabrewing,Campylopterus hemileucurus,5.5in,"Song weak, unmelodious: ""tsee tsee, tuc see, tu wit see"" in slow tempo, squeaky voice (Skutch).",
96,Trochilidae,White-necked Jacobin,Florisuga mellivora,4.5-5in,Squeaky 'tsitting' notes (Slud).,in quotation marks whereas onomatopoeias are generally italicized
97,Trochilidae,Green Violet-Ear,Colibri thalassinus,4.5in,Loud double note given often while perched (Alden).,
98,Trochilidae,Fork-tailed Emerald,Chlorostilbon canivetii,3-3.5in,"And endlessly repeated wiry ""tseee-tseeree"" (Slud).",
98,Trochilidae,Broad-billed Hummingbird,Cynanthus latirostris,3.5-4in,"A chatter. In aerial display, hum of female is high-pitched; has ""zing of rifle bullet"" (Willard).",
99,Trochilidae,Common Woodnymph,Thalurania furcata,4in,"Weak chipping, tsitting, and ticking notes.",
99,Trochilidae,White-eared Hummingbird,Hylocharis leucotis,3.5in,"A low, clear ""tink, tink, tink"", sounding like a small bell (Skutch). A metallic rattle; various other notes.",
100,Trochilidae,Bue-throated Goldentail,Hylocharis eliciae,3.25in,"A warblerlike song of usually 4 two-syllabled notes: ""see-bit see-bit see-bit see-bit"". Also ""tsit"" notes (Slud).",
100,Trochilidae,White-bellied Emerald,Amazilia candida,3.5in,"Song, a series of 2-3 lisping squeaks, ""tsk-see-seet-seet-seet"" (Willis).",
101,Trochilidae,Cinnamon Hummingbird,Amazilia cyanura,4in,A descending 'tsittering' trill similar to that of Rufous-tailed Hummingbird (Slud).,
101,Trochilidae,Fawn-breasted (Buff-bellied) Hummingbird,Amazilia yucatanensis,4-4.5in,"Shrill, squeaky notes.",
102,Trochilidae,Rufous-tailed Hummingbird,Amazilia tzacatl,3.5-4in,"A descending trill of rapidly given ""ts"" notes. Song, 2-4 sibilant, piercing accented ""tss"" notes (Slud).",
103,Trochilidae,Blue-throated Hummingbird,Lampornis clemenciae,4.5-5.25in,"A squeaking ""seek"".",
104,Trochilidae,Magnificent (Rivoli's) Hummingbird,Lamprolaima rhami,4.5-5in,"Note, a thin sharp ""chip"".",
104,Trochilidae,Purple-crowned Fairy,Heliothrix barroti,4.5in,"A weak ""tsir"" or ""tsup"" (Slud).",
108,Trogonidae,Resplendent Quetzal,Pharomachrus mocinno,14-15in,"A repetitious 2-note call (1st not high, 2nd low) (Chalif). 2 calls: a low double note, ""wahco, wahco, etc."", and a whistled ""whee'oo"" (Eisenmann).","put ""Chalif"" in brackets"
109,Trogonidae,Slaty-tailed (Massena) Trogon,Trogon massena,12.5-14in,"A rather slow deliberate series, ""cow, cow, cow"" etc., or ""cuk, cuk"" etc.. Also a ""kereek, kereek, kereek"" (Eisenmann).",
109,Trogonidae,Citreoline Trogon,Trogon citreolus,10-11in,"""Cow, cow, cow, cow-cow-cow-cowcow"", the 1st 3 or 4 given slowly, then faster toward the end (Chalif). A harsh clucking, accelerating into a chatter (Skutch).",
110,Trogonidae,Mountain (Mexican) Trogon,Trogon mexicanus,12in,"While perched, ""tucka-tucka-tucka"". Also a slow ""cow"", repeated 4-6 times. Alarm, a low sharp ""tuck"" or ""cut"". In flight, a rapid low ""cut-a-cut-cut"" (Chalif).",
110,Trogonidae,Elegant (Coppery-Tailed) Trogon,Trogon elegans,11-12in,"A series of low, coarse notes, slightly bisyllabic: ""kowm kowm kowm kowm kowm kowm"" or ""koa, koa"" etc. (RTP).",
