Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
54,Yellow-billed Spoonbill,Platalea flavipes,80-90,soft calls; bill clattering.,"changed to semicolon, in line wiith other entries"
56,Wandering Whistling-Duck,Dendrocygna arcuata,54-60,distincive; shrill and whistling.,
58,Radjah Shelduck,Tadorna radjah,"M 50-56, F 49-61","very vocal, often utters harsh rattling call whilst flying through thick timber.",
62,Garganey,Anas querquedula,38-41,distinctive harsh rattling call.,
62,Pink-eared Duck,Malacorhynchus membranaceus,36-45,can be located in mixed flocks of ducks by distinctive chirruping call.,
62,Hardhead,Aythya australis,42-49,"nasal ""mow"".",
62,Maned (Wood) Duck,Chenonetta jubata,44-50,"distinctive drawn-out mournful ""now"" with a rising inflection.",not clear whether its the word or phonological interpretion of the spelling
64,Green Pygmy-Goose,Nettapus pulchellus,"M 30-36, F 30-34","male has a distinctive shrill ""pee-whit"" call.",
66,Osprey,Pandion haliaetus,"F 60-66, M 50-55",plaintive whistles.,
66,Black-shouldered Kite,Elanus notatus,"F 35-38, M 33-36","harsh ""kar""; quiet ""chep"".",
66,Letter-winged Kite,Elanus scriptus,"F 35-38, M 33-36","harsh ""kar-kar"" or ""chip-chip"".",
66,Pacific Baza,Aviceda subcristata,"F 43-46, M 35-40","shrill double whistle, rising and falling; quieter whistles and trills.",
68,Black Kite,Milvus migrans,"F 50-55, M 47-52","plaintive descending ""see-err"", and whistles ""si-i-i-i-"".",
68,Square-tailed Kite,Lophoictinia isura,"F 55-56, M 50-51",hoarse yelp; weak twitter (chatter).,
68,Black-breased Buzzard,Hamirostra melanosternon,"F 55-61, M 51-53","short, sharp calls: hoarse yelp, thin whistle, harsh sounds.",
68,Brahminy Kite,Milvus indus,"F 48-51, M 45-49","plaintive ""pee-ah-ah-ah"".",
68,Whistling Kite,Milvus sphenurus,"F 52-59, M 51-54","long descending ""seeo"" followed by an upward staccato ""si-si-si-si"".",
70,Brown Goshawk,Accipiter fasciatus,"F 45-55, M 38-45","rapid, shrill chatter (female generally lower-pitched).",
70,Collared Sparrowhawk,Accipiter cirrhocephalus,"F 35-38, M 29-33","very rapid, shrill chatter.",
70,Grey (White) Goshawk,Accipiter novaehollandiae,"F 50-55, M 38-42","rapid, shrill chatter, also repeated rising shrill whistle.",
70,Red Goshawk,Erythrotriorchis radiatus,"F 57-61, M 46-51","loud, harsh chatter.",
72,White-bellied Sea-Eagle,Haliaeetus leucogaster,"F 80-85, M 75-77",deep goose-like honking or cackling.,
72,Wedge-tailed Eagle,Aquila audax,"F 89-104, M 87-91",feeble yelps and squeals.,
72,Little Eagle,Hieraaetus morphnoides,"F 50-55, M 45-48","loud, excited, high-pitched whistle, usually two or three notes uttered rapidly. Also a series of mellow or plaintive piping notes.",
74,Swamp (Marsh) Harrier,Circus approximans,"F 55-61, M 50-57","high-pitched ""seee-uh"" during aerial food transfer between birds; loud ""kee-a"" during courtship flights.",
74,Black Falcon,Falco subniger,"F 52-56, M 45-54",chatters and screeches.,
74,Peregrine Falcon,Falco peregrinus,"F 45-50, M 35-42",hoarse chatter and whining sounds.,
76,Australian Hobby,Falco longipennis,"F 34-35.5, M 30-32","rapid shrill chatter, also loud chuckling call.",
76,Grey Falcon,Falco hypoleucos,"F 41-43, M 33-36",chattering and clucking sounds.,
76,Brown Falcon,Falco berigora,"F 48-51, M 41-45",raucous cackles and screeches.,
76,Australian Kestrel,Falco chenchroides,"F 33-35.5, M 30-33","shrill, excited chatter.",
78,Orange-footed Scrubfowl,Megapodius reinwardt,40-60,"loud crows, gurgles; often many birds call at once.",
78,Malleefowl,Leipoa ocellata,60,booming (territorial); sharp grunt (alarm); soft lowing call (communication).,
78,Australian Brush-turkey,Alectura lathami,70,harsh grunts.,
78,Stubble Quail,Cotunix pectoralis,18,"high whistle ""titch-u-wip"".",
78,Brown Quail,Coturnix australis,18,"""f-whip"" and ""be-quick, be-quick"".",
78,King Quail,Coturnix chinensis,13,two to three descending notes.,
80,Peafowl,Pavo cristatus,"M 180-200 (including tail), F 90-100","""kee-ow kee-ow"".",need to think about how to deal with the size here
80,Feral Chicken,Gallus gallus,43-75,"male ""cock a doodle-do""; also clucking.",
80,Common Pheasant,Phasianus colchicus,76-89,"""korrk-koh"".",
80,California Quail,Lophortyx californicus,24,"""ut-ut""; ""cu-ca-cow""; other calls.",
80,Chukar Partridge,Alectoris chukar,33,"loud wails, drummings.",
80,Common Turkey,Meleagris gallopavo,"M 95-125, F 90-110","coarse 'gobbling'; clucks, yelps.",
80,Helmeted Guinea Fowl,Numida meleagris,60,squeaking wail.,
82,Plains-wanderer,Pedionomus torquatus,"F 17-18, M 15-17","repetitive ""oom"".",
84,Buff-banded Rail,Gallirallus philippensis,29-33,"squeeky ""sswit sswit""; loud throaty croaks; at nest a low clucking.",
84,Lewin's Rail,Dryolimnas pectoralis,21-23.5,"wide variety of soft clicks, crowings, low groanings.",
84,Chestnut Rail,Eulabeornis castaneoventris,44-52,"raucous ""wack, waka, wah-wah"" often rhythmically repeated.",
84,Red-legged Crake,Rallina fasciata,19-24,unknown.,
84,Red-necked Crake,Rallina tricolor,27-28,"loud and descending ""raak, rah-rah-rah""; ""kih""; ""toh, toh"" or ""plop-plop-plop"" often heard in wet season; grunts like piglets.",
86,Corncrake,Crex crex,25.5-26.5,"""rerp rerp"".",
86,Baillon's Crake,Porzana pusilla,15-16,"""chutt, krekk"" also a trill when alarmed.",
86,Australian (Spotted) Crake,Porzana fluminea,19-21,"many calls; ""doo-ik""; high-pitched ""chatter-chatter""; ""kirrik-kirrik-kirrik""; also whine.",
86,Spotless Crake,Porzana tabuensis,18-19,"a sharp ""kikk, blop-blop-blop"" like engine starting; ""krroo"".",
86,White-browed Crake,Poliolimnas cinereus,18-19,various 'nasal' squealing notes.,
88,Bush-hen,Amaurornis olivacea,25-26,"long, repeated ""nee-u"", followed by a shuddering sound. Also clicks and grunts, and a single note repeated.",
88,Tasmian Native-hen,Gallinula mortierii,43-45,"frequent ""see-saw""; alarm call; loud scream; low-pitched grunts.",
88,Black-tailed Native-hen,Gallinula ventralis,32-36,sharp alarm call; very quiet single cackle.,
88,Dusky Moorhen,Gallinula tenebrosa,35-38,many shrill notes.,
88,Purple Swamphen,Porphyrio porphyrio,44-48,"harsh screaming noise ""hee-ow"".",
88,Eurasian Coot,Fulica atra,32-39,various shrill notes.,
90,Brolga,Grus rubicundus,stands up to 1.4m,whooping trumpet uttered in flight and on ground; also harsh croaks.,
90,Sarus Crane,Grus antigone,stands up to 1.5m,whooping trumpet uttered in flight and on ground; also harsh croaks.,
90,Kori (Australian) Bustard,Ardeotis koris,M stands up to 1m. F stands up to 0.7m,"males have guttural roar, uttered during display. Harsh barking cry when alarmed; otherwise mainly silent.",
92,Comb-crested Jacana,Irediparra gallinacea,23,"squeaky ""pee pee pee""; shrill alarm call.",
92,Bush Thick-knee,Hydrophasianus chirurgus,31,"mournful, wailing ""wee loo"" usually at night.",
92,Beach Thick-knee,Esacus magnirosris,55,"repeated, mournful, wailing ""wee loo""; higher, harsher than Bush Thick-knee.",
92,Painted Snipe,Rostratula benghalensis,55,booming in display.,
92,Pied Oystercatcer,Haematopus ostralegus,48,"double ""per-peep""; during display rapid ""pee-pee-pee-pee"".",
92,Sooty Oystercatcher,Haemotopus fuliginosus,48,like Pied.,means Pied Oystercatcher here
94,Masked Lapwing (Plover),Vanellus miles,35,"loud ""kerr-kick-ki-ki-ki""; single ""kek"".",
94,Banded Lapwing (Plover),Pluvialis squatarola,25,"crying ""er chill cher"".",
94,Lesser Golden Plover,Pluvialis dominica,25,"""too wet"".",
94,Red-Kneed Dotterel,Erythrogonys cinctus,18,"""chet chet"".",
94,Hoden Plover (Dotterel),Charadrius rubricollis,19-21,"short, piping calls.",
96,Ringed Plover,Charadrius hiaticula,18,"""too-li""or ""coo-eep"".",
96,Little Ringed Plover,Charadrius dubius,15,"""pee-oo"".",
96,Mongolian Plover,Charadrius mongolus,19-20,"""drit drit"".",
96,Double-banded Plover,Charadrius bicinctus,18-19,"loud, staccato ""pit-pit""; rapid trill.",
96,Large Sand Plover,Charadrius leschenaultii,20-23,"""chweep-chweep"".",
96,Oriental Plover,Charadrius veredus,22-25,"nasal ""chit-chit""; ""chrreep"".",
98,Red-capped Plover,Charadrius ruficapillus,15,"sharp ""twink"".",
98,Black-fronted Plover,Elseyornis melanops,16,"metallic ""pink"".",
98,Inland Dotterel,Peltohyas australis,20,mostly silent.,
98,Black-winged Stilt,Himantopus himantopus,36-38,yelps.,
98,Banded Stilt,Cladorhynchus leucocephalus,36-45,"single or double ""yook""; ""chogga"".",
98,Red-necked Avocet,Recurvirostra novaehollandiae,40-46,"yelps, wheezes; musical ""toot toot"".",
100,Ruddy Turnstone,Arenaria interpres,21-25,loud rattle.,
100,Eastern Curlew,Numenius madagascariensis,53-61,"mournful ""karr-er""; higher ""kerlee-kerlee"".",
100,Whimbrel,Numenius phaeopus,38-43,"shrill chattering ""tee-tee-tee"".",
100,Little Curlew,Numenius minutus,31-36,flute-like double whistle.,
100,Wood Sandpiper,Tringa glareola,20-23,"loud, rapid, four-note whistle.",
102,Grey-tailed Tattler,Tringa brevipes,26,"fluty ""troo-eet""; ""weet-eet"".",
102,Wandering Tattler,Tringa incana,27,"trill 6-10 notes ""whee-wee-wee"".",
102,Greenshank,Tringa nebularia,20,"ringing ""tew-tew"".",
102,Spotted Greenshank,Tringa guttifer,31-35,"loud piercing ""keyew"".",
102,Redshank,Tringa totanus,28,"loud ""then-hu-hu"".",
102,Lesser Yellowlegs,Tringa flavipes,27,"soft, high ""ti-di-ti"", ""ti-dup"".",
102,Marsh Sandpiper,Tringa stagnatilis,20-23,"soft ""tee-oo"".",
102,Terek Sandpiper,Xenus cinereus,22-23,"fluty trill ""weeta-weeta-weeta""; rapid ""tee-tee-tee"".",
104,Latham's Snipe,Gallinago hardwickii,24-26,"rasping ""shik"".",
104,Pin-tailed Snipe,Gallinago stenura,23-25,"abrupt ""charp"".",
104,Swinhoe's Snipe,Gallinago megala,24-26,"short ""shrek"".",
104,Asian Dowitcher,Limnodromus semipalmatus,25-35,single yelp.,
104,Red Knot,Calidris canutus,25,"throaty ""knut"" or ""kloot"".",
104,Great Knot,Calidris tenuirostris,28,"occasional ""nyut-nyut"".",
106,Sharp-tailed Sandpiper,Calidris acuminata,NA,"""wit-wit"".",
106,Pectoral Sandpiper,Calidris melanotos,NA,"reedy, rasping ""krrrt"".",
106,Cox's Sandpiper,Calidris paramelanotos,NA,"like Pectoral, shriller.",
106,Little Stint,Calidris minuta,14,"""tit"".",
106,Red-necked Stint,Calidris ruficollis,15,"""chit, chit""; high pitched trill.",
106,Long-tooed Stint,Calidris subminuta,15,"rapid ""chre-chre-chre"".",
108,Curlew Sandpiper,Calidris ferruginea,21,"loud ""chirrup"".",
108,Dunlin,Calidris alpina,20,"nasal ""tree"".",
108,Buff-breasted Sandpiper,Tryngites subruficollis,21,"harsh ""krik""; ""tik"".",
108,Broad-billed Sandpiper,Limicola falcinellus,18,trilling.,
108,Ruff (Reeve),Philomachus pugnax,"M 30, F 23-27","""tu-whit"" when flushed.",
108,Stilt Sandpiper,Micropalama himantopus,21,"""too too"".",
110,Red-necked Phalarope,Phalaropus lobatus,17-20,"""chek"" or ""chik-chik-chik"".",
110,Wilson's Phalarope,Phalaropus tricolor,22-25,low-pitched honking.,
110,Grey Phalarope,Phalaropus fulicarius,19-22,"shrill ""twit"".",
110,Oriental Pratincole,Glareola maldivarum,23,"tern-like ""chik chik""; soft ""towheet-towheet"".",
118,Common Tern,Sterna hirundo,37,"""ki-ork""; ""kik-kik-kik"".",
118,Roseate Tern,Sterna dougallii,32,"""chew-ich""; grating ""aach"".",
118,White-fronted Tern,Sterna striata,39,"""kech kech""; ""kee-ech-kee-ech""",
122,Lesser Crested Tern,Sterna bengalensis,NA,"like Crested, shriller.",funny enough the crested's voice is not explained!
122,Common Noddy,Anous stolidus,37-41,"purring and ""kraa, kraa"".",
122,Lesser Noddy,Anous tenuirostris,30-34,rattling alarm; purring call.,
124,Banded Fruit-Dove,Ptilinopus cinctus,33-35,"strong, low, repeated cooing.",
124,Superb Fruit-Dove,Ptilinopus superbus,22-24,"five to six clear, deep whoops.",
124,Rose-crowned Fruid-Dove,Ptilinopus regina,22-24.5,"""woo-hoo"" repeated, becoming faster, ending in rapid ""hoo-hoo-hoo"".",
124,Wompoo Fruit-Dove,Ptilinopus magnificus,35-55,"deep, carrying ""wallock-a-woo""; softer ""book-a-roo, book"".",
124,Torresian Imperial-Pigeon,Ducula bicolor,38-44,"deep ""coo woo"".",
124,Black-collared Fruit-Pigeon,Ducula mullerii,43,little known.,
124,Topknot Pigeon,Lopholaimus antarcticus,40-46,occasional sharp screech.,
126,White-headed Pigeon,Columba leucomela,38-42,"low, mournful, repeated and ventriloquial ""oom coo"".",
126,Feral Pigeon,Columba livia,33,"deep moaning ""cooo""; display call ""racketty-coo"" or ""co-coo-coo-coo"".",
126,Spotted Turtle-Dove,Streptopelia chinensis,31.5,"mellow, musical ""coo""; ""coocoo, croo""; ""coo-coo-croo-coor"".",added a semicolon between second and third onomatopeia
126,Laughing Turtle-Dove,Streptopelia senegalensis,25.5,"musical, laughing or bubbling ""coo coo coo""; ""coo oo coo"".",
126,Brown Cuckoo-Dove,Macropygia amboinensis,38-43,"""whoop-a-whoop"", last note rising in tone and longer.",
128,Peaceful Dove,Geopelia placida,21-23,"carrying ""woodle-woo"", and ""woo-luk""; softer cooing.",
128,Diamond Dove,Geopelia cuneata,19-20,"soft, mournful; cooing.",
128,Bar-shouldered Dove,Geopelia humeralis,26.5-30,"""cukoo-woop""; coos.",
128,Emerald Ground-Dove,Chalcophaps indica,23-25.5,"low, repeated cooing.",
128,Common Bronzewing,Phaps chalcoptera,28-35,"resonant, deep, repeated ""oom"".",
128,Brush Bronzewing,Phaps elegans,25-33,"repeated, muffled ""oom"".",
128,Flock Bronzewing,Phaps histrionica,27-30,usually silent.,
130,Crested Pigeon,Geophaps lophotes,31-35,"explosive ""whoop""; low ""coo"".",
130,Squatter Pigeon,Geophaps scripta,26-32,"low ""coo"".",
130,Partridge Pigeon,Geophaps smithii,25-28,"low-pitched ""coo"".",
130,Rock-Pigeon,Petrophassa albipennis,28-32,"loud ""coo-corook"" or low ""coo"".",also mentions P. rufipennis; grouped together
130,Spinifex Pigeon,Geophaps plumifera,20.5-22.5,"soft, high ""ooar""; deep ""coo-rrr"".",
130,Wonga Pigeon,Leucosarcia melanoleuca,36-38.5,"resonant; high ""coo-coo"" repeated monotonously.",
132,Palm Cockatoo,Probosciger aterrimus,60,disyllabic call when perched; wailing flight call; harsh screeching alarm.,
132,Red-tailed Black-Cockatoo,Calyptorhynchus banksii,63,"metallic, rolling, far-carrying ""creee creee"".",
132,Glossy Black-Cockatoo,Calyptorhynchus lathami,48,"soft, wailing ""tarr-red"".",
132,Yellow-tailed Black-Cockatoo,Calptyorhynchus funereus,56-66,"characteristic loud wail, ""kee-ow"".",
132,Gang-gang Cockatoo,Callocephalon fimbriatum,34,unmistakable 'creaky door' screech.,
134,Galah,Cacatua roseicapilla,36,"high-pitched ""chi-chi"".",
134,Long-billed Corella,Cacatua tenuirostris,38,high-pitched quavering three-note contact call (in flight).,
134,Little Corella,Cacatua pastinator,37,"like Long-billed Corella; higher-pitched, shorter duration, two notes.",
134,Pink Cockato,Cacatua leadbeateri,35,"distinctive; quavering, falsetto, two-note cry.",
134,Sulphur-crested Cockatoo,Cacatua galerita,45,"extremely loud, raucous screech.",
134,Eclecus Parrot,Eclectus roratus,40,harsh screech.,
134,Red-cheeked Parrot,Geoffroyus geoffroyi,23,"metallic ""honk honk"", repeated rapidly.",
136,Rainbow Lorikeet,Trichoglossus haematodus,28,"continuous screeching, chattering.",
136,Re-collared Lorikeet,Trichoglossus rubritorquis,28,as Rainbow.,"means Rainbow Lorikeet here; ""Voice"" was erroneously put not in bold, still treated it as a voice section"
136,Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,23,Behaviour and calls resemble Rainbow Lorikeet's.,not from voice section
136,Varied Lorikeet,Psitteuteles versicolor,19,"less strident, higher-pitched than Rainbow.",means Rainbow Lorikeet here
136,Musk Lorikeet,Glossopsitta concinna,22,metallic screech.,
136,Purple-crowned Lorikeet,Glossopsitta porphyrocephala,16,"short sharp ""zit-zit-zit"".",
136,Little Lorikeet,Glossopsitta pusilla,16,"a shrill ""zit"" (in flight) repeated often.",
136,Double-eyed Fig-Parrot,Cyclopsitta diophthalma,14,"thin ""zeet-zeet"" (in flight).",
138,Australian King Parrot,Alisterus scapularis,42,"loud ""carrak-carrak"" in flight; male gives far-carrying, piping whistle.",
138,Red-winged Parrot,Aprosmictus erythropterus,32,"brassy ""crillik-crillik"" in flight.",
138,Superb Parrot,Polytelis swainsonii,38,"rolling ""currak-currak"" in flight. Not as harsh as Regent Parrot.",
138,Regent Parrot,Polytelis anthopeplus,39,"loud, harsh ""currak-currak"" in flight.",
138,Alexandra's Parrot,Polytelis alexandrae,"F 35, M 46","prolonged clackering; ""queet-queet"" alarm call.",
140,Cockatiel,Leptolophus hollandicus,32,"loud, rolling ""weero-weero"".",
140,Ground Parrot,Pezoporus wallicus,30,distinctive; bell-like; heard at dusk and dawn.,
140,Night Parrot,Pezoporus occidentalis,23,peculiar croaking alarm note; drawn out mournful whistle.,
140,Budgerigar,Melopsittacus undulatus,18,"continuous ""chirrup""; ""zitt""ing alarm call.","notice morphology in the onomatopoeia; took the ""ing"" out of it even though it was par of the brackets in the text"
140,Swift Parrot,Lathamus discolor,24,"high-pitched ""clink clink"".",
140,Red-capped Parrot,Purpureicephalus spurius,36,"harsh ""shrek shrek"".",
142,Green Rosella,Platycercus caledonicus,37,"loud ""cussick cussick"" (in flight); bell-like (perched).",
142,Crimson Rosella,Platycercus elegans,35,"brassy ""kweek-kweek"" (in flight); mellow piping whistle (perched).",
142,Eastern Rosella,Platycercus eximius,30,"high-pitched ""clink-clink"" (in flight); piping ""pee pit-ee"" or slow ""kwink-kwink"" (perched).",
142,Pale-headed Rosella,Platycercus adscitus,30,like Eastern Rosella.,
142,Northern Rosella,Platycercus venustus,29,like Eastern Rosella.,
142,Western Rosella,Platycercus icterotis,26,"soft ""clink-clink"".",
144,Mallee Ringneck,Barnardius barnardi,35,ringing.,
144,Ringneck (Port Lincoln),Barnardius zonarius,37,"strident. Race semitorquatus calls ""twentee-eight"".",subspecies?
144,Red-rumped Parrot,Psephotus haematonotus,27,two-syllable whistle.,
144,Mulga Parrot,Psephotus varius,28,3-4 flute-like notes.,
144,Golden-shouldered Parrot,Psephotus chrysopterygius,26,double whistle.,
144,Paradise Parrot,Psephotus pulcerrimus,27,unknown.,
144,Blue Bonnet,Northiella haematogaster,26-30,"harsh ""chack chack""; piping whistle.",
146,Bourke's Parrot,Neophema bourkii,19,soft twitter.,
146,Blue-winged Parrot,Neophema chrysostoma,21,"tinkling (in flight); sharp ""sit-sit"" (alarm).",
146,Elegant Parrot,Neophema elegans,22,sharp (in flight); soft (feeding).,
146,Rock Parrot,Neophema petrophila,22,"double ""sit-tee"" (in flight).",
146,Orange-bellied Parrot,Neophema chrysogaster,21,"diagnostic ""buzz-buzz"" (alarm).",
146,Turquoise Parrot,Neophema pulchella,20,like Blue-winged.,means Blue-winged Parrot here
146,Scarlet-chested Parrot,Neophema splendida,20,quiet twittering.,
148,Oriental Cuckoo,Cuculus saturatus,30-34,allegedly silent in Aust.,
148,Pallid Cuckoo,Cuculus pallidus,33,"an ascending and accelerating series of hoarse, whistles ""too-too-too..."".",
148,Brush Cuckoo,Cuculus variolosus,23-23,"six or seven descending notes; mournful ""ther-er-wee"" repeated.",
148,Chestnust-breasted Cuckoo,Cuculus castaneiventris,24,like Fan-tailed.,means Fan-tailed Cuckoo here
148,Fan-tailed Cuckoo,Cuculus flabelliformis,24.5-28.5,"mournful descending trill, repeated; other calls.",
148,Black-eared Cuckoo,Chrysococcyx osculans,19-20,"descending ""feeeuw"" singly or repeated; is lower, longer and more mournful than Horsfield's.",
150,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,17,"descending whistle ""fee-ew""; shorter, higher than Black-eared.",means Black-eared Cuckoo here
150,Shining Bronze-Cuckoo,Chrysococcyx lucidus,17-18,"reverse of Horsfield's call: repeated ""few-ee"".",
150,Little Bronze-Cuckoo,Chrysococcyx minutillus,16,"high, short, accelerating and descending ""see-see..."".",
150,Gould's Bronze-Cuckoo,Chrysococcyx russatus,NA,Voice and habitat as Little.,means Little Bronze-Cuckoo here
150,Common Koel,Eudynamys scolopacea,39-46,"""koo-well"" and ""wurra wurra"".",
150,Channel-billed Cuckoo,Scythrops novaehollandiae,60,bubbling trumpet.,
150,Pheasant Coucal,Centropus phasianinus,60-80,"low bass ""coo-coo-coo-coo-coo-coo-coocal"".",
152,Rufous Owl,Ninox rufa,51,"deep double-hoot, second note shorter.",
152,Powerful Owl,Ninox strenua,55,"slow, deep, resonant double-hoot; occasionally single.",
152,Southern Boobook,Ninox novaeseelandiae,30,falsetto double-hoot; continuous hooting.,
152,Barking Owl,Ninox connivens,40,"explosive, dog-like, double-bark; wavering human-like scream; grating trill; various growls.",
152,Brown Hawk-Owl,Ninox scutulata,29,"musical double-hoot, second note brief, higher-pitched.",
154,Barn Owl,Tyto alba,"F 35, M 34",rasping screech.,
154,Masked Owl,Tyto novaeollandiae,"F 47, M 37","deep, rasping screech; various twitterings.",
154,Eastern Grass Owl,Tyto capensis,"F 37, M 34","deep, soft screech; high-pitched trills.",
154,Sooty Owl,Tyto tenebricosa,"F 48, M 40",descending whistle; chirruping trills.,
154,Lesser Sooty Owl,Tyto multipunctata,"F 37, M 33",higher-pitched than Sooty Owl.,
156,Tawny Frogmouth,Podargus strigoides,34-46,"a constant ""oo-oom..."".",
156,Papuan Frogmouth,Podargus papuensis,45-54,ooms; clacks by snapping of bill.,
156,Marbled Frogmouth,Podargus ocellatus,40-48,"high ""coo-lew""; low ""coo-lew""; loud tocking, then laughing ""cor-cor-"" followed by six gobbles.",
156,Australian Owlet-nightjar,Aegotheles cristatus,21-24,"grating, strident churring.",
156,White-throated Nightjahr,Caprimulgus mystacalis,33,"accelerating ""kook-kook..."".",
156,Spotted Nightjahr,Eurostopodus argus,30,"few ""kook-kooks"", then repeated faster.",
156,Large-tailed Nightjahr,Caprimulgus macrurus,27,monotonous chopping.,
158,Glossy Swiftlet,Collocalia esculenta,9-11.5,soft twittering.,
158,White-rumped Swiftlet,Aerodramus spodiopygia,11,chips and twitters.,
158,Uniform Swiftlet,Aerodramus vanikorensis,12,soft twittering.,
158,White-throated Needletail,Hirundapus caudacutus,20,"twittering, chattering.",
158,Little Swift,Apus affinis,15,shrill rattling trill.,
158,Fork-tailed Swift,Apus pacificus,17.5,"twittering, buzzing.",
160,Azure Kingfisher,Alcedo azurea,18,high-pitched whistle.,
160,Little Kingfisher,Alcedo pusilla,12,"shrill whistle, higher than Azure Kingfisher.",
160,Laughing Kookaburra,Dacelo novaeguineae,45,raucous 'laughter'.,
160,Blue-winged Kookaburra,Dacelo leachii,40-45,harsh cackling scream.,
160,Forest Kingfisher,Halcyon macleayii,20,"harsh trilling chatter, high-pitched whistle.",
160,Red-backed Kingfisher,Halcyon pyrrhopygia,20,mournful; harsh alarm near nest.,
162,Sacred Kingfisher,Halcyon sancta,19-23.5,loud four-note call. Harsh alarm call near nest.,
162,Collared Kingfisher,Halcyon chloris,25-29,two-note call.,
162,Yellow-billed Kingfisher,Syma torotoro,18-21,"loud, mournful trill.",
162,Buff-breasted Paradise-Kingfisher,Tanysiptera sylvia,29-35,trilling call.,
162,Rainbow Bee-eater,Merops ornatus,23-28,high-pitched chitter.,
162,Dollarbird,Eurystomus orientalis,27-31,harsh.,
164,Red-bellied Pitta,Pitta erythrogaster,16-19,"harsh ""kraa-kraa"".",
164,Noisy Pitta,Pitta versicolor,20,"loud whistle ""walk-to-work""; a single high ""keow"" alarm.",
164,Rainbow Pitta,Pitta iris,18,like Noisy but softer.,means Noisy Pitta here
164,Albert's Lyrebird,Menura alberti,"M 80-90, F 65-75",not unlike Superb.,means Superb Lyrebird here
164,Superb Lyrebird,Menura novaehollandiae,"M 80-98, F 65-75","loud, protracted and complex song with expert mimicry and loud alarm whistles.",
164,Rufous Scrub-bird,Atrichornis rufescens,16,loud territorial song; softer notes; mimicry.,
166,Singing Bushlark,Mirafra javanica,12-15,"melodious songs, including mimicry.",
166,Skylark,Alauda arvensis,17-19,chirrup; musical warbling.,
166,White-backed Swallow,Cheramoeca leucosternum,15,single note in flight.,
166,Barn Swallow,Hirundo rustica,15,twitter; pleasant warbling.,
166,Welcome Swallow,Hirundo neoxena,15,twittering chatter.,
166,Tree Martin,Hirundo nigricans,16-18,pleasant twitter.,
166,Fairy Martin,Hirundo ariel,12,distinct chirrup and sweet twittering.,
168,Richard's Pipit,Anthus novaeseelandiae,17-18,chirrups; trilling calls in flight.,
168,Yellow Wagtail,Motacilla flava,15-17,"shrill, trilling.",
168,Yello-headed (Citrine) Wagtail,Motacilla citreola,16-17,"louder, shriller than Yellow Wagtail.",
168,Grey Wagtail,Motacilla inerea,17-18,"sharp ""tit"" or ""chichit"".",
