Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
18,"California Quail, True Quail",Stubble Quail,Coturnix pectoralis,17-20cm,"a clear, ringing ""cheery-wit"" and ""too-too-weep"", last note higher, louder, given repeatedly.",
18,"California Quail, True Quail",King Quail,Coturnix chinensis,13-15cm,"a drawn out whistle, 2 or 3 notes, descending, husky and plaintive, ""kee-er, kee-er…"" or ""kee-eee-er, kee-ee-er…"".",
18,"California Quail, True Quail",Brown Quail,Coturnix ypsilophora,17-20cm,"a double noted, ascending whistle: ""pi-pieer"", or ""tu-wieep"".",
20,"Magpie Goose, Cape Barren Goose, Swans",Magpie Goose,Anseranas semipalmata,75-90cm,"loud honking, that of male louder, higher. From a flock, a cacophony of nasal trumpeting.",
20,"Magpie Goose, Cape Barren Goose, Swans",Cape Barren Goose,Cereopsis novaehollandiae,75-90cm,"often calls in flight. Male has a loud, harsh trumpet  --  a rapid ""ark-ark, ark-ark"". Both sexes give low grunts, softer honks, and hiss in aggression or when threatened.",
20,"Magpie Goose, Cape Barren Goose, Swans",Mute Swan,Cygnus olor,1.3-1.6m,"usually silent but can give soft, hoarse trumpeting in breeding site displays, and hisses of threat and defence.",
20,"Magpie Goose, Cape Barren Goose, Swans",Black Swan,Cygnus atratus,1.1-1.4m,"a musical, clear bugling, carries far; probably a contact call given in flight and on the water. Loud hissing when defending the nest.",
22,"Whistling Ducks, Stiff-Tailed Ducks",Plumed Whistling Duck,Dendrocygna eytoni,40-60cm,"a shrill whistling, given as a single sharp note, or a high, squeaky, wheezy ""tzwit-tzwit-tzwit-tzwit…"". Roosting flocks give an almost continuous ""jizzing-chittering"" intermixed with high whistles; also from flocks when alarmed and in flight, and often heard at night. At the nest, soft whistles between pair. A different whistling in flight from wind across wings.",
22,"Whistling Ducks, Stiff-Tailed Ducks",Wandering Whistling-Duck,Denrocygna arcuata,55-61cm,"a high, whistled, rather tremuous ""wit-wit-wit…"", slightly slurred. From flocks, a confusion of whistling and twittering.",
22,"Whistling Ducks, Stiff-Tailed Ducks",Spotted Whistling-Duck,Dendrocygna guttata,43cm,"differs from resident Australian whistling-ducks; not as high or twittering. Usually a nasal ""wheeow"" or ""zziow"", which may continue as a sequence, ""whu-wheow-whee"" repeatedly. Flocks give a varied confusion of sound; most exitedly if put to flight.",
22,"Whistling Ducks, Stiff-Tailed Ducks",Blue-billed Duck,Oxyura australis,36-44cm,"usually silent, but in display male makes a soft, throbbing, increasingly rapid ""dunk, dunk, dunk-dunk-dunk…"" sound, and a shrill but soft ""chi-chi-chi-…"". Female, rebuffing male, soft ""tet-tet-tet…"".",
22,"Whistling Ducks, Stiff-Tailed Ducks",Musk Duck,Biziura lobata,male 60-70cm; female 47-55cm,"the male in display gives a deep grunt and loud, piercing whistle. At the same instant the drake's feet, or perhaps its wings, make a jetting splash with a deep ""plonk"" sound.",
24,"Wood Duck, Pink-Eared Duck, Teal",Australian Wood Duck,Chenonetta jubata,45-60cm,"female a drawn out, querulous, nasal ""grouwwk"", beginning low, rising. Male a similar, but higher, more abrupt ""nowk!"". From flock, rapid clucking, louder when agitated.",
24,"Wood Duck, Pink-Eared Duck, Teal",Pink-eared Duck,Malacorhynchus membranaceus,38-45cm,"flocks noisy in flight and on the water with rapid, whistled twittering; also a sharp ""ti-wit, ti-wit, ti-wit"" alarm call and a drawn out ""wheeii-ooo"" in display.",
24,"Wood Duck, Pink-Eared Duck, Teal",Grey Teal,Anas gracilis,42-45cm,"male gives a sharp whistle with soft low grunt and loud, whistled ""gedg-ee-oo"". Female has a loud, chuckled, descending series of quakcs; also a slow, harsh, drawn out ""que-aark"".",
24,"Wood Duck, Pink-Eared Duck, Teal",Chestnut Teal,Anas castanea,38-44cm,almost indistinguishable from Grey Teal except for minor differences of pitch; male's slightly deeper.,
24,"Wood Duck, Pink-Eared Duck, Teal",Garganey,Anas querquedula,37-41cm,"male has a distinctive strident ratle, but unlikely to be heard from birds wintering in Aust. As it is given during courtship.",
24,"Wood Duck, Pink-Eared Duck, Teal",Northern Pintail,Anas acuta,50-65cm including tail,"usually silent; male has a nasal warning call, female a rather hoarse quack or croak.",
26,"Ducks: Shelducks, Freckled, Hardhead, Pacific Black",Australian Shelduck,Tadorna tadornoides,56-73cm,"loud calls, often in flight. Male gives a deep, harsh, nasal, buzzing grunt or honk; female has a higher call, though with simlar nasal tone, ""ank-aank"" or ""an-ganker"".",
26,"Ducks: Shelducks, Freckled, Hardhead, Pacific Black",Radjah Shelduck,Tadorna radjah,49-61cm,"very vocal, calling in flight and on water or land. Male has a rattling whistle; female a deeper, slower, more harsh rattling.",
26,"Ducks: Shelducks, Freckled, Hardhead, Pacific Black",Freckled Duck,Stictonetta naevosa,50-59cm,"silent in flight. Both sexes give a low, resonabnt, querulous groan, often becoming drawn-out and peevish. Male gives an ""axe-grind"" sound, a low buzz, ending in a sharp squeak, soft and not audible at a distance. Female has a throaty chuckle, louder defending nest or ducklings.",
26,"Ducks: Shelducks, Freckled, Hardhead, Pacific Black",Hardhead,Aythya australis,45-60cm,"male gives a soft, wheezy whistle and ""whirr""; female a loud, harsh rattle, the firt note loudest, then faster and trailing away, ""gaaak,gaak,gak,gak-gak-gakgak"".","Interesting spacing in ""gak"" call"
26,"Ducks: Shelducks, Freckled, Hardhead, Pacific Black",Pacific Black Duck,Anas superciliosa,48-60cm,"male, a quick ""rhaab-rhaab"" of varying strength; in warning a loud, extended ""rhaaaeeb""; in display a high pitched whistle immediately followed by a deep grunt. Female, typical loud duck quackings, single quacks of varying strength and a long sequence, descending and fading, ""quaak, quaak, quak, quak-quakquak"".",
28,"Pygmy-Geese, Mallard, Shovelers",Green Pygmy-Goose,Nettapus pulchellus,30-36cm,"male has a sharp, high whistled contact call, given almost continuously in flight or on the water, fluctuating in pitch, strengh and rapidity, ""chi-wip, chi-wip, chiwip…""; from the female, a whistle of declining pitch and intensity, ""phee-oo"". On coming in to land, a deeper, softer ""kuk-ka-kadu"". Alarm call from both sexes is a sharp, whistled ""whit!"" or ""whit-whit"".",
28,"Pygmy-Geese, Mallard, Shovelers",Cotton Pygmy-Goose,Nettapus coromandelianus,34-38cm,"in flight male gives a continuous, rapid, high, nasal, chattering quack like a rapid, sharply metallic, nasal frog's croak, ""car-car-carwak""; a cacophony of sound when from many birds. The female has a much softer quacking.",
28,"Pygmy-Geese, Mallard, Shovelers",Mallard,Anas platyrhynchos,50-70cm,"probably indistinguishable from Pacific Black Duck. Male: usually quick ""rhaab-rhaab""; in warning a loud ""rhaaaeeb""; in display a whistle and deep grunt. Fem.: typical duck quackings -- loud single quacks and, in long sequences, a descending ""uaak, quaak, quak-quak-quak"".",
28,"Pygmy-Geese, Mallard, Shovelers",Australasian Shoveler,Anas rhychotis,45-54cm,"usually silent, but courting male gives a soft, double noted ""took-took…, took-ook…"", given at widely spaced intervals, but sometimes rapidly. Female has a rapid sequence of soft but sharp quacks, becoming faster, lower and softer, ""quaaak…, quaak, uak, quak-quakquak."" ",
28,"Pygmy-Geese, Mallard, Shovelers",Northern Shoveler,Anas clypeata,45-55cm,"usually silent; calls weak. Male gives a soft hoarse ""took"" or ""took-took, took-took"", distinguishable from calls of Australasian Shoveler.",
30,Grebes,Australasian Grebe,Tachybaptus novaehollandidae,23-25cm,"noisy in breeding season and in defending territory against rivals. Both sexes give a fast, loud, high and metallic chittering; each burst of sound is continuous for 3-5 sec, vibrating rather than trilling. Also gives harsher versions in threat or aggression.",
30,Grebes,Hoary-headed Grebe,Poliocephalus poliocephalus,29-30cm,"usually silent, gives very muted churring and low guttural sounds in courtship and at the nest, but audible only over a very short distance. Have been reported as giving a single ""hrow"" sound when breeding.",
30,Grebes,Great Crested Grebe,Podiceps cristatus,47-61cm,"usually silent; calls when breeding and when nest is threatened. Calls include a throaty, gurgling, rolling ""quarr-r, quarr-r, quarr-r"", a rapid rattling, frog-croaking or barking ""rhag-rhag-rhag"", a guttural growling ""ghr-rr"" and various other noises associated with display and territory.",
32,Crested Penguins,Macaroni (Royal) Penguin,Eudyptes chrysolophus,65-75cm,"noisy with loud trumpetings of greeting and recognition at the nest. The raucous, rattling, braying ""kaaa-kaa-aargh"" calls, coming from the huge number of birds that make up a colony, are a continuous harsh, loud, vibrating buzz.",
32,Crested Penguins,Rockhopper Penguin,Eudyptes chrysocome,45-60cm,"at sea, abrupt barks or croaks as contact calls; in colonies is noisy with loud, raucous braying.",
32,Crested Penguins,Fiordland Penguin,Eudyptes pachyrhynchus,55-65cm,"in breeding colonies, loud, harsh, deep; less calling at sea.",
32,Crested Penguins,Erect-crested Penguin,Eudyptes sclateri,65-70cm,"rattling and shrill sounds interspersed with deep, throbbing grunts; calling is loud and persistent in breeding colonies, far more subdued when moulting on land, silent at sea.",
32,Crested Penguins,Snares Penguin,Eudyptes robustus,50-60cm,"in colony, loud, harsh, ratchetty squawkings intermixed with barks, deep croaks, throbbing grunts. Noisiest early in breeding cycle; far less noisy when moulting at sea.",
34,Penguins,King Penguin,Aptenodytes patagonicus,85-95cm,in colonies and at sea both sexes give cooing contact calls that can be audible more than a kilometre away. Many other calls given on land as part of courtship and nesting behaviour.,
34,Penguins,Gentoo Penguin,Pygoscelis papua,70-80cm,"calls at sea are unknown. In colonies has various loud trumpetings, harsh croaking, vibrant, harsh, throaty raspings, ""aargh"", ""aa-aa-argh"", and hissing sounds.",
34,Penguins,Adelie Penguin,Pygoscelis adelidae,70cm,"contact call is a sharp barking given at sea and elsewhere away from the colony. Calls in display include thumping, rasping sounds.",
34,Penguins,Chinstrap Penguin,Pygoscelis antarctica,70-76cm,"known calls are from nest site and include a loud, cackling ""arh-kauk-kauk"", soft humming and hissing sounds. Calls at sea and on islands outside breeding season are not known.",
34,Penguins,Magellanic Penguin,Spheniscus magellanicus,70cm,"in colony, loud staccato braying calls.",
34,Penguins,Little Penguin,Eudyptua minor,35-45cm,"noisy ashore at night with sharp yapping, high trilling, a resonant ""quarrr"", vibrating, deep grunts and braying. Short, sharp yaps at sea.",
36,"Fulmar, Petrels",Southern Fulmar,Fulmarus glacialoides,45-50cm; span 115-120cm,"noisy at sea when quarrelling over food, and in nest colonies. Various fowl-like cluckings, croakings and short, sharp, harsh cacklings.",
36,"Fulmar, Petrels",Antarctic Petrel,Thalassoica antarctica,40-45cm; span 110-120cm,"usually silent at sea; in colonies, rapid, harsh, abrupt ""argh-argh-argh""; some notes are deep, croaked, drawn out like creaky door.",
36,"Fulmar, Petrels",Cape Petrel,Daption capense,35-42cm; span 80-90cm,"noisy when breeding and in squabbling flocks at sea; has a rapid, hoarse ""arghargh-arg"", a sharper ""cak-cak-cak"", and an excited but softer almost musical ""cook-cook-cook"".",
36,"Fulmar, Petrels",Snow Petrel,Pagodroma nivea,30-40cm; span 75-85cm,"usually silent at sea, but varied ""teck-teck"" and other calls swinging from guttural to high-pitched""",
36,"Fulmar, Petrels",Blue Petrel,Halobaena caerulea,26-32cm; span 66-71cm,"silent at sea; in courtship a soft ""ku-ku-ku-COO-COO"".",
36,"Fulmar, Petrels",Mottled Petrel,Pterodroma inexpectata,33-35cm; span 85cm,"silent at sea; in colonies, rapid, vibrating, metallic ""ki-ki-ki-"" and various growling and crooning sounds.",
38,Petrels,Black-winged Petrel,Pterodroma nigripennis,28-30cm; span 64-71cm,"in flight over colony a rapid, high ""peet-peet-peet"".",
38,Petrels,Gould's Petrel,Pterodroma leucoptera,30cm; span 68-71cm,"usually silent at sea. At breeding grounds calls in flight and on the ground. After dark, circles above colony giving a high, metallic ticking, ""kik-kik-kik-kik"" or ""zit-zit-"", more rapidly and excitedly in aerial pursuits. Usual call from birds on ground is a shrill ""pee-pee-peeoo"" or a tremulous growling.",
38,Petrels,Cook's Petrel,Perodroma cookii,25-30cm; span 66cm,"usually silent at sea and on ground. Calls in flight over colonies varied: includes high, nasal, rather duck-quacked ""kwek-kwek-kwek"", soft, or loud and harsh; like call of Mottled Petrel",
38,Petrels,Juan Fernandez Petrel,Pterodroma externa,40-43cm; span 96-98cm,possibly similar to that of White-necked Petrel,
38,Petrels,Barau's Petrel,Pterodroma barui,38cm; span 96cm,"probably silent at sea, but noisy over breeding colonies; calls are described as a high ""ti-ti-ti-ti-"" and lower ""kek-kek-kek-kek-"".",
38,Petrels,White-necked Petrel,Pterodroma cervicalis,40-43m; span 1m,"silent at sea, noisy in colonies during breeding season. In flight, loud, harsh ""ka-ka-ka-ka"" and softer ""tse-tse-tse-tse"", and, from ground also, long ""kukoowik-ka-ka"".",
40,Petrels,Great-winged Petrel,Pterodroma macroptera,38-43cm; spant to 1.02m,"at nest and display, rapid, squeaky, screeched ""kee-kee-kee"", gruff ""carrrk"" or ""quawer"".",
40,Petrels,Providence Petrel,Pterodroma solandri,40cm; span about 1m,"in flight over colonies a loud, rapid, harsh ""kak-kak-kaaak-kak-kak"" or ""kir-rer-rer""; on ground a deeper trilled ""kerr-rer, kuk-kuk-kuk, ker-er-er"".",
40,Petrels,White-chinned Petrel,Procellaria aequinoctialis,50-58cm; span 1.3-1.4m,"usually silent at sea, but, around trawlers, high trilling and aggressive, harsh, clucking ""chek-check"" or ""kek-kek-"".",
40,Petrels,Westland Petrel,Procellaria westlandica,50-55cm; span 1.3-1.4m,silent at sea; noisy visiting nest colonies at nigh; various harsh cackles.,
40,Petrels,Black Petrel,Procellaria parkinsoni,46cm; span 1.1m,"in colonies, harsh, sharp clacking, ""ak-ak-ak-ak-"", and a throaty squawk, ""argk, argk, argk"".",
40,Petrels,Kerguelen Petrel,Lugensa brevirostri,33-36cm; span 80-82cm,"calls at sea are unknown, possibly silent. In colonies it calls mainly at dusk, a wheezy ""ch-chee-chee-chay"".",
42,Petrels,Kermadec Petrel,Pterodroma neglecta,38cm; span 93cm,"apparently silent at sea. In breeding colonies, calls in flight and on ground, very noisy in evenings as thousands of birds return and circle the nest grounds. The call is varied, but usually a loud ""yuk-ker-a-wooo-WUK""  --  the first part a hoot, the final loud and abrupt.",
42,Petrels,Grey Petrel,Procellaria cinerea,50cm; span 1.1-1.3m,"apparently silent at sea. Noisy in colonies, especially early in breeding cycle; cackles, moans, resonant alarm calls.",
42,Petrels,Soft-plumaged Petrel,Pterodroma mollis,32-36cm; span 84-95cm,"usually silent at sea; possibly some communication within large flocks. At colony calls only in flight  --  a low, wavering, musical wail, repeated several times, often ending with a sharp upwards ""whik""; ha several other sounds including sharp squeaks and trills.",
44,Petrels,Tahiti Petrel,Pseudobulweria rostrata,38-40cm; span 85-95cm,silent at sea; in colony at night a long whistled sequence.,
44,Petrels,Atlantic Petrel,Pterodroma incerta,43cm; span 1-1.1m,NA,
44,Petrels,White-headed Petrel,Pterodroma lessonii,40-46cm; span 1.1m,"usually silent at sea. In colonies, noisy after sunset and again before sunrise with much calling from birds overhead. Flight call, ""wit-wit-wit"" and ""tiew-ee, tiew-ee-"" with an occasional gruff ""ooo-err"".",
44,Petrels,Herald Petrel,Pterodroma arminjoniana,35-39cm; span 1m,"apparently silent at sea. At the island colony, pairs and individuals call in display flights, night or day, rarely from the ground. Usual call is a high chattering variously described as ""hi-hi-hi-"" or ""chi-chi-ch-"".",
44,Petrels,Bulwer's Petrel,Bulweria bulwerii,26-27cm; span 68-72cm,silent at sea.,
46,Shearwaters,Buller's Shearwater,Puffinus bulleri,46-47cm; span 97-99cm,"silent at sea; noisy in colonies after dark and pre-dawn; varied wailing, screaming, howling sounds, like other shearwaters.",
46,Shearwaters,Wedge-tailed Shearwater,Puffinus pacificus,38-45cm; span 1m,"silent in flight; noisy in colonies at night; a wailing ""ka-wooo-ah"", repeatedly, becoming faster, louder, rising to an almost hysterical climax.",
46,Shearwaters,Flesh-footed Shearwater,Puffinus carneipes,40-45cm; span 110-120cm,"usually silent at sea, but noisy on arrival and prior to the pre-dawn departure. The usual call is a loud, regularly repeated, rather dove-like wailing coo; begins slowly, softly, then rises through the sequence, building to a loud frenzy of excitement before dying way again: ""awook, awook, awow, awow-AWOW-awow-awook, awook"".",
46,Shearwaters,Sooty Shearwater,Puffinus griseus,40-46cm; span 1m,"usually silent at sea, but noisy on arrival and prior to the pre-dawn departure. The usual call is a loud, regularly repeated, rather dove-like wailing coo; begins slowly, softly, then rises through the sequence, building to a loud frenzy of excitement beore dying away again: ""awook, awook, awow, awow-AWOW-awow-awook, awook"".",
46,Shearwaters,Short-tailed Shearwater,Puffinus tenuirostris,40-45cm; span about 1m,NA,
46,Shearwaters,Pink-footed Shearwater,Puffinus creatopus,48cm; span 1.1m,not recorded.,
48,Shearwaters,Great Shearwater,Puffinus gravis,43-51cm; span 1-1.2m,noise like fighting cats when squabbling around trawlers.,
48,Shearwaters,Streaked Shearwater,Calonectris leucomelas,47-49cm; span 1.22m,usually silent at sea.,
48,Shearwaters,Manx Shearwater,Puffinus puffinus,30-38cm; span 78-88cm,"silent at sea, but calls at colonies.",
48,Shearwaters,Fluttering Shearwater,Puffinus gavia,32-37cm; span 75-77cm,"silent at sea, noisy over island colonies.",
48,Shearwaters,Hutton's Shearwater,Puffinus huttoni,36-38cm; span 72-78cm,"usually silent at sea, but occasionally some cackling sounds. Very noisy in breeding colonies; a juddering, squawking ""kouw-kouwkee-kee-aah"" with variations.",
48,Shearwaters,Audubon's Shearwater,Puffinus lherminieri,27-33cm; span 64-74cm,"noisy in breeding colonies; usual call ""shooo-kree"", either rasping or sharply screeched.",
48,Shearwaters,Little Shearwater,Puffinus assimilis,25-30cm; span 58-67cm,"silent at sea; breeding, a growling, sobbing""wah-iwah-iwah-ooo"".",
50,Prions,Broad-billed Prion,Pachyptila vittata,28cm; span 60-62cm,"noisy at night in colonies; gives a rough, rasping ""ku, ku-aah, kuk"".",
50,Prions,Salvin's Prion,Pachyptila salvini,25-30cm; span 58cm,"not well known; probably calls only in colonies, loud ""KA-kaka-DU"".",
50,Prions,Antarctic Prion,Pachyptila desolata,25-28cm; span 62-65cm,"silent at sea; noisy in colonies with its throaty, dove-like cooing: ""uk-coo-uk-cooo-uk-uk-u-cooo"".",
50,Prions,Slender-billed Prion,Pachyptila belcheri,25-26cm; span 56cm,"silent at sea; in colonies usually a harsh cooing, occasional squawks and trills.",
50,Prions,Fairy Prion,Pachyptila turtur,24-28cm; span 56-60cm,noisy at night in breeding grounds.,
50,Prions,Fulmar Prion,Pachyptila crassirostris,28cm; span 60cm,"noisy at night in colonies; gives stuttering, low, harsh croakings.",
52,"Giant-Petrels, Sooty Albatrosses",Southern Giant-Petrel,Macronectes giganteus,85-100cm; span 1.8-2.1m,"usually silent at sea except when squabbling over carrion or other food. At the breeding grounds is noisy throughout year; various sounds, mostly unpleasant. A deep, stuttered sequence of groaning sounds, ""ur-ur-ur-ur"", beginning very deep and resonant, becoming high and rapid. Also deep, throaty, croaking groans, loud creaky door noises, braying, gurgling and cat-like mewing.","""unpleasant"""
52,"Giant-Petrels, Sooty Albatrosses",Northern Giant-Petrel,Macronectes halli,81-94cm; span 1.8-2m,"usually silent at sea except in a squabbling mob near carrion or refuse. Generally like calls of Southern Giant-Petrel; display calls possibly lower and harsher; some deep: ""arh-argh-argh-""; or rising to a whistling, screaming crescendo.",
52,"Giant-Petrels, Sooty Albatrosses",Sooty Albatross,Phoebetria fusca,85-90cm; span 2-2.5m,"silent at sea except for threat call when feeding  --  a harsh, throaty ""ghaaaow""; bill clappering in display. Calls at breeding colony are similar to those of Light-mantled Sooty Albatross.",
52,"Giant-Petrels, Sooty Albatrosses",Light-manteled Sooty Albatross,Phoebetria palpebrata,80-90cm; span 2m,"usually silent at sea except for a harsh ""ghaaaa!"" threat call, usually while squabbling for food. At nest a loud ""PEEE-iew, PEEE-aagh"".",
54,Great Albatrosses,Wandering Albatross,Diomedea exulans,1.1-1.2m; span 2.5-3.5m,"at sea usually silent, but occasionally makes gurgling, croaking sounds. In colonies, groaning, yapping, croaking interspersed with harsh braying and shrill shrieking.",
54,Great Albatrosses,Royal Albatross,Diomedea ephomophora,1.1-1.2m; span 3-3.5m,"at sea, occasional harsh squawks. Noisy I breeding colonies; calls are similar to perhaps not as harsh as, those of the Wandering Albatross. These include loud ratchetting sounds, slow, deep, resonant, gurgling clucks and low vibrant groans.",
56,Albatrosses,Black-browed Albatross,Diomedea melanophris,80-90cm; span 2.2-2.5m,at sea it is usually silent except for harsh croaks when squabbling over food; noisy in colonies.,
56,Albatrosses,Buller's Albatross,Diomedea bulleri,75-80cm; span 2-2.15m,"silent at sea; in colony low, nasal, grating croaks like a crow, ""argh-argh-argh"", abrupt or drawn out. Males give longer croaks, also wail and groan.",
56,Albatrosses,Grey-Headed Albatross,Diomedea chrysostoma,70-85cm; span 1.8-2.3m,"silent in flight. At breeding grounds, vibrating, nasal croaking, a drawn out ""aarrrgh, aarrrgh"" like a heavy, creaking door, and an abrupt, sharper ""a-a-a-a-a"".",
56,Albatrosses,Yellow-nosed Albatross,Diomedea chlororhynchos,70-80cm; span 1.8-2m,"usually silent at sea except when fighting over food. Noisy in colonies with a rapid, high, vibrating, nasal yapping, ""hek-ek-ek-ek-ek-ekek-eg-eg-eeg-eeeg"".",
58,Large Albatrosses,Shy Albatross,Diomedea cauta,1m; span 2-2.5m,"usually silent at sea, but harsh croaking when squabbling with other birds for food, especially around fishing boats. Noisy in colony, usually a deep, vibrating, nasal croaking, ""argk-argk-argk-argk""; also a harsh, strident wailing.",
58,Large Albatrosses,Laysan Albatross,Diomedea immutabilis,80-82cm; span 1.95-2.05m,NA,
60,"Diving-Petrels, Storm Petrels",Common Diving-Petrel,Pelecanoides urinatrix,20-25cm; span 33-38cm,"apparently silent at sea, but very noisy at night in breeding colonies. Male gives a slow ""koo-ah"", rising in pitch, and ""koo-ah-ka, koo-ah-ka-"", also described as ""ku-ku-miaw"". Female has variations like ""koo-aka-did-a-did"".",
60,"Diving-Petrels, Storm Petrels",South Georgian Diving-Petrel,Pelaconoides georgicus,18-21cm,"silent at sea. From burrows, a series of 5-10 varied squeaks; in flight a squeaked ""ku-eeek"" at intervals of several seconds. Calls differ from those of Common Diving-Petrel.",
60,"Diving-Petrels, Storm Petrels",Wilson's Storm-Petrel,Oceanites oceanicus,15-19cm; span 38-42cm,"at sea is silent except for occasional querulous, sparrow-like chattering within feeding flock; chirping calls at night. In colonies, churring and peeping sounds.",
60,"Diving-Petrels, Storm Petrels",Leach's Storm-Petrel,Oceanodroma leucorhoa,19-22cm; span 45-48cm,"calls at sea while in flight as well as over the colony. Most common call is a staccato ticking that ends with a slurred trill, and chuckling sounds.",
62,Storm-Petrels,Matsudaia's Storm-Petrel,Oceanodroma matsudairae,24-25cm; span 54-58cm,NA,
62,Storm-Petrels,White-Bellied Storm-Petrel,Fregetta grallaria,18-22cm; span 46-48cm,"silent at sea and in flight over colonies; calls are usually from within nest burrow, long series of high ""pew-pew-pew-pew"" notes.",
62,Storm-Petrels,Grey-backed Storm-Petrel,Garrodia nereis,16-19cm; span 38-40cm,"silent at sea; In colonies, a wheezy, scratchy chirping or twittering.",
62,Storm-Petrels,Black-bellied Storm-Petrel,Fregetta tropica,20cm; span 46cm,"silent at sea; in colonies makes a distinctive, whistled ""hieuuuuw"" and softer pipping.",
62,Storm-Petrels,White-faced Storm-Petrel,Pelagodroma marina,18-21cm; span 42-43cm,"in breeding colony a soft, repetitive ""peeoo-peeoo"" or ""whooo, wooo"".",
64,"Tropicbirds, Boobies",Red-tailed Tropicbird,Phaethon rubricauda,45-50cm; tail streamers 40cm,"loud, sharp, harsh, cackling calls during aerial displays; squawk and purring at nest.",
64,"Tropicbirds, Boobies",White-tailed Tropicbird,Phaethon lepturus,38-40cm; tail streamers,"in courtship aerial displays, a ""kek-kek-kek"" call while flying in high circles.",
64,"Tropicbirds, Boobies",Masked Booby,Sula dactylatra,75-85cm; span 1.6-1.7m,"usually silent at sea; noisy in breeding colonies. Male gives a high, descending, whistled ""whieeoooo"", female a loud, harsh, honking ""aarh-aarh-a-yah"".",
64,"Tropicbirds, Boobies",Red-footed Booby,Sula sula,70-80cm; span 1.4m,"silent at sea except for alarm call, a loud, grating ""karrak, karrak"". Noisy at breeding colony, a grating""kurr-uk, kurr-uk""; in flight over colony, a loud""rarh, rarh"".",
64,"Tropicbirds, Boobies",Brown Booby,Sula leucogaster,65-75cm,"calls at sea when squabbling and fishing. Noisy in colonies: male has soft hiss; female a harsh, deep honk or quack.",
66,"Darter, Cormorants",Darter,Anhinga melanogaster,85-90cm; span 1.2m,"a harsh ""kar, kar, ka, ka-ka-kakaka"", slow and loud, becoming more rapid, fading. At nest, loud, brassy cacklings by male; clicking sounds.",
66,"Darter, Cormorants",Great Cormorant,Phalacrocorax carbo,80-85cm; span 1.3-1.5m,"usually silent. Breeding male gives croaking, stuttering groans like a heavy, creaking door, and raucous, barking threat calls; hoarse hissing from female.",
66,"Darter, Cormorants",Little Black Cormorant,Phalacrocorax sulcirostris,55-65cm; span 1m,"usually silent, but some ticking and croaking among birds in fishing flocks. Guttural croaks and tickings at nest.",
66,"Darter, Cormorants",Little Pied Cormorant,Phalacrocorax melanoeucos,55-60cm,"near the nest, cooing ""keh-keh-keh-"" and a harsh, deep ""uk-uk-urk"" by male arriving with nest materials or food for young. A sharp croak is used as an alarm call.",
66,"Darter, Cormorants",Pied Cormorant,Phalacrocorax varius,70-80cm; span 1-1.3m,"usually silent, but in breeding colony various cacklings, loud ticking, deep guttural grunting.",
66,"Darter, Cormorants",Black-faced Cormorant,Phalacrocorax fuscescens,60-70cm; span 1m,"usually silent, but, within the breeding colony, loud, guttural croakings from the male, soft, hoarse hissing from the female.",
