Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
47,Red-breasted Merganser,Mergus serrator,55,Usually silent.,
48,Goosander,Mergus merganser,62,"Harsh ""krak-krak-krak..."" in display.",
49,Quail,Coturnix coturnix,17,"Quail call is a liquid ""quip-ip-ip"" (*wet my lips*), often given at night.",separated quail and corncrake (grouped together)
49,Corncrake,Crex crex,29,"Corncrake's is a rasping ""crex-crex-crex..."" (hence scientific name), like fingernails run across a comb, and it also often calls at night.",separated quail and corncrake (grouped together)
50,Red Grouse,Lagopus lagopus,40,"A loud ""krrrr-k-k-k-k-k"", *go-back, go-back...*",italicized together; great example of how two different onomatopoeias are used together
51,Ptarmigan,Lagopus muta,35,"A dry, croaking rattle (like stick pulled rapidly across slats of picket fence).",
52,Capercaillie,Tetrao urogallus,60-87,Capercaillie's song is quiet throaty clicks followed by a noise like a cork being popped.,
52,Black Grouse,Tetrao tetrix,40-55,"Lekking Black Grouse give far-carrying, eerie, bubbling moan, ""oodle-u, oodle-u, woooo, woooo, oodle-u..."", intermixed with harsh hisses.",
53,Pheasant,Phasianus colchicus,53-89,"Call a single crowing ""kook"" or ""kru-kook"", accelerating into a cackle in flight.",
54,Grey Partridge,Perdix perdix,30,"A single, prolonged grating ""kree'eet"", often given early in the morning and evening.",
55,Red-legged Partridge,Alectoris rufa,33,"Calls frequently, a rhythmic chicken-like ""kuk'kuk-kacha"".",
56,Great Crested Grebe,Podiceps cristatus,49,Guttural croaks and chatters.,
57,Little Grebe,Tachybaptus ruficollis,27,"Loud, often prolonged, whinnying trill that rises and falls in volume and sometimes also in pitch.",
58,Red-throated Diver,Gavia stellata,53-69,"Flight call on breeding grounds a cackling ""cak cak"". Song a goose-like honking and tremulous wailing. Silent in winter.",
59,Fulmar,Fulmarus glacialis,48,"A croaking ""gak-gak-gak"" at nest.",
60,Manx Shearwater,Puffinus puffinus,34,In breeding colonies at night gives bizzare hoarse wailing.,
61,Gannet,Morus bassanus,94,"A hoarse ""aar-r-r"" at breeding colonies.",
62,Shag,Phalacrocorax aristotelis,73,Grunting at colonies.,
63,Cormorant,Phalacrocorax carbo,90,"Deep, harsh calls at colonies.",
64,Little Egret,Egretta garzetta,60,"Generally silent except at breeding colonies, when both make croaking and grunting noises.",
64,Spoobill,Platalea leucorodia,85,"Generally silent except at breeding colonies, when both make croaking and grunting noises.",
65,Bittern,Botaurus stellaris,75,"Song of male a very low-pitched ""wump"", recalling the sound made by blowing over the neck of a bottle, this 'booming' can be heard for up to 5km on still nights.",
66,Grey Heron,Ardea cinerea,94,"Flight call a harsh ""frank"".",
67,Osprey,Pandion haliaetus,57,"A yelping, whistled ""yip-yip-yip"".",
68,Common Buzzard,Buteo buteo,54,"A plaintive, slightly nasal ""keeoow"" (recalling a squeaky toy).",
69,Rough-egged Buzzard,Buteo lagopus,55,"Rough-legged Buzzard has a far-carrying ""peee-oooo"" call, recalling Common Buzzard.",
69,Honey-Buzzard,Pernis apivorus,56,Honey-buzzard is generally silent except in breeding season.,
70,Red Kite,Milvus milvus,63,"Various shrill, drawn-out whistles.",
71,Marsh Harrier,Circus aeruginosus,52,"In display gives squeaky, Lapwing-like ""wee-it...wee-it...""",
72,Montagu's Harrier,Circus pygargus,45,"During aerial courtship display the male gives a squeaky, nasal ""keh-keh-keh-keh"".",
73,Hen Harrier,Circus cyaneus,48,"In aerial display male gives a rapid, squeaky ""chik-ik-ik-ik..."".",
74,Goshawk,Accipiter gentilis,48-62,"A very loud, screaming ""ki-ki-ki-ki...""",
75,Sparrowhawk,Accipiter nisus,28-38,"Sharp, staccato ""ki'ki'ki'ki'kik"".",
76,Golde Eagle,Aquila chrysaetos,75-88,Mostly silent.,
77,Peregrine,Falco peregrinus,36-48,"A shrill, throaty ""khee-khee-khee"".",
78,Merlin,Falco columbarius,28,"Call a shrill ""kii-kii-kii-kii..."" Only vocal on breeding grounds.",
79,Hobby,Falco subbuteo,33,"A sharp, clear ""kiau-kiau...."".",
80,Kestrel,Falco tinnunculus,34,"A quarrelsome, piercing ""klee-klee-klee"", each note rising in pitch.",
81,Water Rail,Rallus aquaticus,26,"Varied pig-like squeals and grunts, also an unassuming ""kip, kip, kip..."".",
82,Moorhen,Gllinula chloropus,34,"Very varied, calls include a mellow, full, explosive ""trork"".",
83,Coot,Fulica atra,37,"Call a full ""kook"" and shriller ""kit"" (given in chorus), also a clipped ""tink"", like metal on stone.",
84,Oystercatcher,Haematopus ostralegus,43,"Call a shrill ""k'leep"", often given in chorus by several birds. Song a repeated ""tee-teeoo..., tee-teeoo..."" given in circling display flight, with exaggerated slow wingbeats.",
85,Avocet,Recurvirostra avosetta,44,"Call a shrill, yelping ""quip quip quip...."".",
86,Stone-Curlew,Burhinus oedicnemus,42,"Song, often given at night, a repeated ""krrrr-ee, krrrr-ee..."", with the first note harsh and trilling, the second a shrill whistle; this, and most other calls, are distinctly Curlew-like.",means Curlew (Numenius arquata) here
87,Dotterel,Charadrius morinellus,21,"Call purring, song a repeated ""phip phip phip phip..."".",
88,Little Ringed Plover,Charadrius dubius,15,"Call a single ""teeu"". Song a repeated ""tree-up, tree-up..."", given in wavering display flight.",
89,Ringed Plover,Charadrius hiaticula,19,"Call a clearly disyllabic ""too-ip"". Song a rapidly repeated whistle, ""quiddu-quiddu..."", given in low, stiff-winged display flight.",
90,Golden Plover,Pluvialis apricaria,28,"Call a sad ""pee"". Song plaintive whistles given in butterfly-like display flight.",
91,Grey Plover,Pluvialis squatarola,29,"Call a characteristic plaintive, three-note whistle, ""tu-loo-ee"".",
92,Lapwing,Vanellus vanellus,30,"Call a high, nasal ""tow-ip"" (hence 'peewit'). Song ""klep-toowit, klip klip, tooo-ow-wit"", given in a rolling and tumbling display flight.",
93,Ruff,Philomachus pugnax,"M: 28, F: 22",Virtually mute.,
94,Dunlin,Calidris alpina,18,"Flight call a harsh ""scree"". Song a mixture of calls and prolonged reedy trilling.",
95,Little Stint,Calidris minuta,13,"In flight Little Stint gives a sharp ""tit"".",split entry with Curlew Sandpiper
95,Curlew Sandpiper,Calidris ferruginea,19,"Curlew Sandpiper a chirpy ""chirrup"".",split entry with Little Stint
96,Knot,Calidris canutus,24,"Call a soft, nasal ""knut""; also a querulous ""quee-quee"" in alarm.",
97,Sanderling,Calidris alba,21,"Call a sharp ""quick""",
98,Purple Sandpiper,Calidris maritima,21,"Flight call a conversational ""quit"".",
99,Turnstone,Arenaria interpres,23,"Flight call ""tiuw"" and a distinctive chattering ""kuk-a-kuk-kuk"".",
100,Woodcock,Scolopax rusticola,34,"When roding gives a thin ""tissik"" interspersed with a low grunting ""wark-wark-wark"" that is only audible as it passes close overhead.",
101,Snipe,Gallinago gallinago,26,"Call when flushed an abrupt harsh ""scaap"". Song, often given from a prominent perch, a repeated ""chip-er chip-er..."". In 'drumming' display flight the modified outer tail feathers make a low throbbing as the bird periodically dives downwards.",
102,Black-tailed Godwit,Limosa limosa,42,"Flight call ""wicka-wicka"".",
103,Bar-tailed Godwit,Limosa lapponica,38,"Flight call a full but squeaky ""kwik-kwik"".",
104,Whimbrel,Numenius phaeopus,41,"In flight gives a very distinctive, soft but penetrating ""ti-ti-i-ti-ti-ti-ti"".",
105,Curlew,Numenius arquata,50-60,"Call a haunting whistled ""courlee"". Song a beautiful bubbling trill given in flight display.",
106,Green Sandpiper,Tringa ochropus,23,"In flight Green Sandpipers gives a shrill, loud, ringing, ""kluw-ee, kluw-ee-eet...."", (...)",split entry with Wood Sandpiper
106,Wood Sandpiper,Tringa glareola,20,"(...) and Wood Sandpiper a flat, whistled ""chiff-if-if"".",split entry with Green Sandpiper
107,Common Sandpiper,Actitis hypoleucos,20,"Call a ringing, high-pitched ""swee-weewee-wee"", falling slightly in pitch.",
108,Spotted Redshank,Tringa erythropus,30,"Flight call a very distinctive 2-note ""chew-wit"".",
109,Redshank,Tringa totanus,28,"Call a mournful, whistled ""teu-lu, teu-luu..."". Song ""tu-tu-tu-tu..."" given for prolonged periods of flight.",
110,Greenshank,Tringa nebularia,32,"Call a loud, ringing ""tew-tew-tew"".",
111,Arctic Skua,Stercorarius parasiticus,41-46,"Calls mewing, recalling Kittiwake.",
112,Mediterranean Gull,Larus melanocephalus,37,"Call a rising, nasal ""keeah"".",
113,Black-headed Gull,Larus ridibundus,36,"Calls include a scolding ""krreearr"" and sharp ""kek, kek"".",
114,Herring Gull,Larus argentatus,60,Gives the familiar 'laughing' display call.,
115,Lesser Black-backed Gull,Larus fuscus,58,As Herring Gull but deeper and throatier.,
116,Great Black-Backed Gull,Larus marinus,64-78,"Deeper, fuller and gruffer than Herring Gull.",
117,Common Gull,Larus canus,41,"Calls high-pitched, shrill or mewing.",
118,Kittiwake,Rissa tridactyla,39,"A nasal ""k-kitt-i-waake"" at breeding colonies.",
119,Little Gull,Hydrocoloeus minutus,26,"Both usually silent; flight call of Little Gull a short hard ""kek-kekkek"" call.",combined entry with Black Tern
119,Black Tern,Chlidonias niger,23,"Both usually silent; flight call of Black Tern is a harsh ""klit"" or ""klee"".",combined entry with Little Gull
120,Arctic Tern,Sterna paradisaea,34,As Common Tern but higher and more nasal.,
121,Common Tern,Sterna hirundo,33,"Call a sharp ""kip"" and harsh ""keee-arrrr"".",
122,Sandwich Tern,Sterna sandvicensis,39,"Flight call a grating ""kirreet, kirreet..."".",
123,Little Tern,Sternula albifrons,23,"Calls include distinctive sharp, squeaky ""kreet, kreet..."".",
124,Guillemot,Uria aalge,40,"At colonies a rumbling ""aarr"".",
125,Razorbill,Alca torda,38,"Gives a deep ""urrr"" at colonies, but rather silent.",
126,Black Guillemot,Cepphus grylle,31,Displaying male gives a thin pipit-like squeak.,
127,Puffin,Fratercula arctica,28,Various grunting calls given from the nesting burrow.,
128,Turtle Dove,Streptopelia turtur,27,"A deep, gentle purring ""turrrr, turrrr..."".",
129,Collared Dove,Streptopelia decaocto,32,"Calls frequently, a three-note phrase: ""who-hooo-ho"", repeated several times; also gives a single harsh purring ""kurrr"".",
130,Stock Dove,Columba oenas,33,"Call a repeated soft, two-note phrase: ""oow-AH, oow-AH, oow-AH..."" becoming more insistent with as the call goes on.",sic
131,Rock Dove/Feral Pigeon,Columba livia,33,"The familiar ""oow-oooh, oow-oooh..."".",
132,Woodpigeon,Columba palumbus,41,"Song a five-note phrase: *who cooks for-you, oh...*, repeated 3-5 times.",
133,Ring-necked Parakeet,Psittacula krameri,40,"Call a squawking ""kree, kree-kree-kree, kree-kree..."".",
134,Cuckoo,Cuculus canorus,33,"Song unmistakable, female gives a bubbling trill.",
135,Barn Owl,Tyto alba,34,"Relatively quiet. Song an unpleasant, drawn-out grating shriek. Young in the nest give a variety of hisses.",
136,Little Owl,Athene noctua,22,"Call a sharp yelping ""kyow"", falling in pitch, in alarm a rapid series of querulous notes: ""chi, chi, chi-chi"". Song a simple, plaintive, upwardly inflected hoot (recalling a Curlew), repeated every 5-10 seconds ""coo-ee...coo-ee..."".",
137,Tawny Owl,Strix aluco,38,"Calls infrequently in winter and early spring, the commonest call a squeaky ""kewick"". Song a drawn-out hoot followed by a pause and then a rapid series of notes and another hoot: ""hoo-wooh... ho, ho-wo-woo-wooh""; the female gives a hoarser and more wailing version. The combination of call and song, cobbled together in folklore, gives the familiar ""tuwit, tuwoo"".",
138,Short-eared Owl,Asio flammeus,38,"Song a rapid, muffled ""bo boo boo-boo-boo..."" given in a circling display flight.",
139,Nightjar,Caprimulgus europaeus,27,"Call a full, throaty ""cu-wick"", often given in flight. Song a rapid reel (so fast that individual notes can barely be made out), with frequent changes in pitch. Birds sing for long periods from a perch on a tree top or dead limb and the song often ends with a slower, winding down ""tow-tow-tow-tow-tow"". Males also clap their wings together in flight to make a snapping noise.",
140,Swift,Apus apus,17,"A loud, prolonged and shrill ringing scream, often given in chorus.",
141,Kingfisher,Alcedo atthis,17,"Call a shrill, penetrating whistle: ""zee"" or ""zee-tee"", often given in flight (louder and more piercing than similar call of Dunnock).",
142,Lesser Spotted Woodpecker,Dendrocopos minor,15,"Call ""kik"", as Great Spotted Woodpecker but weaker. Spring song shrill, squeaky ""kee-kee-kee-kee-kee..."". In early spring also drums in a very similar fashion to Great Spotted Woodpecker, but each drum-roll softer and longer, at 1.2-1.8 seconds; often gives two drum-rolls in rapid succession.",
143,Great Spotted Woodpecker,Dendrocopos major,23,"Call a sharp ""kik"", sometimes given in slow series. No song, rather in Jan-Jun 'drums' by rapidly beating its bill against a tree to produce a buzzing rattle, 0.4-0.8 seconds long, so fast that individual strikes cannot be distinguished. Pitch and timbre of drumming depends upon type of tree, which acts as a sounding board.",
144,Green Woodpecker,Picus viridis,32,"Call a loud, manic series of 10-20 notes: ""kle-kle-kle-kle..."", delivered rapidly but deliberately and falling slightly in pitch towards the end; this call gives it the old country name 'yaffle'. Rarely drums.",
145,Woodlark,Lullula arborea,15,"Usually sings while circling slowly 100-150m above ground. Each phrase is a series of repeated notes, starting hesitantly but growing in volume and often falling in pitch: ""ti, ti, ti, tuwi-tuwi-tuwi-tuwi-tuwi-TUWI-TUWI-TUWI...""; after a brief pause a slightly different, phrase is given, etc. Call a mellow ""tit-lwee"".",
146,Skylark,Alauda arvensis,19,"Call a musical ""tsirrup"" or ""tsiroeet"". Sings for prolonged periods while flying high in the sky, a continuous and varied outpouring of notes.",
147,Swallow,Hirundo rustica,18,"Song a delightful twittering, often given while sitting on wires.",
148,Sand Martin,Riparia riparia,12,"Distinctive rasping ""ree-ree-reep-eep"", draws attention to its presence.",
149,House Martin,Delichon urbicum,12.5,"Call a stony ""prrit, prri-it"". Song a jumbled warble given near the nest.",
150,Rock Pipit,Anthus petrosus,16.5,"Very like Meadow Pipit. Call a single sharp ""phist"" (Meadow Pipit typically gives several notes), alarm a nervous ""tsip"". Song a repletion of simple notes, slightly fuller and more metallic than Meadow Pipit but similarly given as it flies up from ground and then 'parachutes' back down.",
151,Meadow Pipit,Anthus pratensi,14.5,"Meadow Pipit is very vocal, flight call a thin ""see seet"", in alarm a nervous ""stit"". Song a series of simple notes, often given as it flies up from ground and then 'parachutes' down, e.g. ""chi chi chi su su su su sisisisi tuu tuu tuu"".",split entry with Tree Pipit
151,Tree Pipit,Anthus trivialis,15,"Tree Pipit calls less often, a single hoarse ""spiz"". Song rich, varied and Canary-like, given from a tree top or in a parachuting display flight that starts and ends on an elevated perch.",split entry with Meadow Pipit
152,Yellow Wagtail,Motacilla flava,17,"Call a loud, shrill ""tsweep"". Song merely the repetition of 2-3 notes, a shrill ""tsree-ree"".",
153,Grey Wagtail,Motacilla cinerea,19,"Call ""tiz-zik"", like Pied Wagtail, but sharper, often followed by single ""zik"" notes as it flies away. Song a simple ""tsi-tsi-tsi"" and canary-like warblings.",
154,Pied Wagtail,Motacilla alba,18,"Flight call a sharp ""chis-zik"", also gives a more musical ""tsu-wee"". Song twittering.",
155,Waxwing,Bombycilla garrulus,18,"Call a rapid, sibilant trill ""sililililili..."", often given in chorus.",
156,Dipper,Cinclus cinclus,18,"Flight call a sharp, penetrating ""stik"". Song a slow croaky warble.",
157,Wren,Troglodytes troglodytes,9.5,"Call a loud ""chak-chak-ak"", sometimes extended into a rattle, also a more buzzing ""trrrrrrrrrrrr"". Song, given from cover, a loud, fast warbling and trilling, lasting 3-6 seconds.",
158,Dunnock,Prunella modularis,14.5,"Call a sharp, penetrating ""stiih"". Song a sweet whistled ditty, varying little between individuals, ""tiddle-iddle-lu-wi, tiddle-iddle-lu-wi-lu-weet"". Usually sings from an exposed perch.",
159,Robin,Erithacus rubecula,14,"Call a sharp ""tic"", and in alarm a very high-pitched, hissing ""tseee"". Song beautiful 'wistful' and melodic, with no two verses the same. Sings all year, autumn song being the most melancholy. Sometimes sings at night.",
160,Common Redstart,Phoenicurus phoenicurus,14,"Common Redstart's call is a whistled ""huweet"", often followed by ""chik-chik""; song a throaty warbler, often incorporating a repeated note or rattle followed by a variety of terminal phrases.",split entry with Black Redstart
160,Black Redstart,Phoenicurus ochruros,14,Black Redstart's song is a mixture of whistled rattles and strange hissing or fizzing notes.,split entry with Common Redstart
161,Nightingale,Luscinia megarhynchos,16.5,"Call a Chaffinch-like ""heep"" and bizarre croaking ""errrr"". Song rich, full and powerful, composed of phrases 2-seconds long with equally long gaps between them. Each phrase comprises impressive rattles and trills interspersed with a slower, pure whistled crescendo: ""tu-tu-tu-tu-tu..."". Sings by day as well as by night, but most persistent between midnight and dawn. Song period short, mid Apr-May, with little song later in summer.",
162,Whinchat,Saxicola rubetra,12.5,"Call a piping ""hip"", often combined with ""tak-tak"". Song a short, fast, rich but scratchy warble with distinct pauses between phrases.",
163,Stonechat,Saxicola torquata,12.5,"Call a high-pitched ""vist"", often followed by a hard ""chak-chak"". Song short, like abbreviated Dunnock, sometimes given in brief song flight.",
164,Wheatear,Oenanthe oenanthe,15,"Call a piping ""hip"", often combined with a hard ""chak-chak"". Song a short, scratchy warble, sometimes given in flight.",
165,Ring Ouzel,Turdus torquatus,24,"Call ""chack-chack-chack"" - rather like Fieldfare. Song loud, 'wild' and rather simple, with repeated phrases like a Song Thrush.",
166,Fieldfare,Turdus pilaris,25.5,"A characteristic, loud ""shack-shack, shakshakshak..."", usually given in flight.",
167,Redwing,Turdus iliacus,21,"A high-pitched but full ""seehp"". This call can often be heard on autumn nights as migrants arrive from Europe for the winter.",
168,Song Thrush,Turdus philomelos,23,"A single ""sip"". Song a series of strident whistled phrases, each repeated 2-4 times, e.g. ""tui-tui-tui, titi-titi, didyu-didyu-didyu..."", and each bird may use over 100 different phrases. Higher-pitched than Blackbird, sweeter than Mistle Thrush, the repetition is characteristic.",
169,Mistle Thrush,Turdus viscivorus,27,"Loud, far-carrying song given in late winter and early spring, structure like Blackbird's song but phrases shorter, harsher and wilder. Often sings during inclement weather leading to old country name of 'Stormcock'. Call a distinctive dry rattle given in flight, recalling wooden football rattle.",
170,Blackbird,Turdus merula,25,"Song slow, rich and melodic, without repetition. In alarm or at dusk gives a loud ""pik, pik, pik..."", which can become an explosive rattle when flushed.",
171,Grasshopper Warbler,Locustella naevia,13,"Grasshopper Warbler has an insect-like, mechanical reeling, lasting up to a minute at a time.",split entry with Cetti's Warbler
171,Cetti's Warbler,Cettia cetti,13.5,"Cetti's Warbler gives a sudden, loud outburst: ""che-che, pi, CHEWEEE-CHEWEE-CHEWEE"".",split entry with Grasshopper Warbler
172,Reed Warbler,Acrocephalus scirpaceus,13,"Call a harsh ""churrr"". Song a rapid series of grating phrases, each repeated 2-3 times: ""churr-churr-churr, chipit-chipit, che-che-che, chidi-chidi..."".",
173,Sedge Warbler,Acrocephalus schoenobaenus,13,"Call a grating ""trrrr"" and hard ""tak"". Song an 'angry' mass of harsh grating notes with occasional sweet whistled crescendos, faster than Reed Warbler and lacking the monotonous rhythm. Song sometimes given in flight.",
174,Garden Warbler,Sylvia borin,14,"Call an undistinguished and nervous ""che"". Song comprises fast, rambling phrases, 3-8 seconds long, some notes full and fruity (recalling Blackbird in tone), often given for prolonged periods with brief pauses between each phrase. Overall rather unvaried, always lacking the high sweet notes of Blackcap. Usually sings from dense cover and more often heard than seen.",
175,Blackcap,Sylvia atricapilla,13,"Call a hard ""tak"". Song initially a rambling chattering (rather like Garden Warbler), but each phrase typically ends with a crescendo of high, beautifully sweet, whistled notes. Sometimes gives several phrases without the sweet terminal notes and then very easy to confuse with Garden Warbler, but always eventually produces characteristic pure whistles. There are usually also significant gaps between each song phrase, unlike the near-continuous warbling of Garden Warbler.",
176,Whitethroat,Sylvia communis,14,"Call a distinctive ""vedd-vedd-vedd"", in alarm a harsh ""charrr"". Song a short, scratchy warble, varying little from bird to bird. Usually sings from an exposed perched or in short, showy song flight.",sic
177,Lesser Whitethroat,Sylvia curruca,13,"Call a hard ""tak"". Song a quiet, undistinguished warble followed by a loud, very characteristic machine gun-like rattle: ... ""cha-cha-cha-cha-cha"". Usually sings from deep cover.",
178,Dartford Warbler,Sylvia undata,12.5,"Song a fast, scratchy and rather tuneless phrase, varying little in pitch and with just a few sweet notes; it is rather like Common Whitethroat's, but less structured. Call a harsh ""chairr, chairr"", again like Common Whitethroat (or distant, muffled Jay).",
179,Wood Warbler,Phylloscopus sibilatrix,12,"Call a melancholy ""piu"", recalling Bullfinch. Song has two variants. Commonest is stuttering series of sharp, loud ""zip"" notes that accelerates into a very fast shivering trill, its whole body shaking; often sings in short gliding song flight. Less frequently gives a series of pure, whistled ""piu"" notes.",
180,Willow Warbler,Phylloscopus trochilus,11,"Call ""huweet"", very like Chiffchaff. Song a delightful series of soft whistles that descends the scale; rhythm rather like a Chaffinch's song (although lacking a terminal flourish), but much sweeter and more silvery in tone.",
181,Chiffchaff,Phylloscopus collybita,10.5,"Call ""huweet"", very like Willow Warbler. Song a slightly halting repetition of two notes in an irregular pattern: ""chiff-chaff chiff-chaff chiff-chiff, chiff-chaff..."", often introduced by one or two quieter grating notes.",
182,Spotted Flycatcher,Muscicapa striata,14.5,"Call a high, almost hissing ""tseeh"", in alarm a more noticeable ""see-chik"" or ""see-chik-chik"". Song unobtrusive, thin and squeaky.",
183,Pied Flycatcher,Ficedula hypoleuca,13,"Call an abrupt ""pik"". Song a slow series of simple notes, going up and down the scale.",
184,Firecrest,Regulus ignicapilla,9,"Song a high-pitched, rhythmic ""tsi-zi-zi-zi-zi-zi-zi-zi-ZI-ZI-ZI"", increasing in volume towards the end. It is very like Goldcrest, but lacks its slightly halting, rolling, quality and, more obviously, lacks a terminal flourish. Call ""tzi-tzi"", subtly harder and fuller than Goldcrest.",
185,Goldcrest,Regulus regulus,9,"Call ""si-si-si"". Song a rhythmic repetition of the call ending with a terminal flourish: ""zee-zee-zee-zee-zee-zee-ziddly-zee ziddle-u"".",
186,Bearded Tit,Panurus biarmicus,12.5,"A distinctive explosive, metallic ""teu"", given in an irregular pattern; may be taken up as a chorus by several birds.",
187,Long-tailed Tit,Aegithalos caudatus,14,"Very vocal, flocks keep in contact with a thin but penetrating, high-pitched ""see-see-see"" and a lower-pitched, mellower clipped ""tup""; in excitement gives a louder and harder slurred, rattling ""tsirrrup"".",
188,Crested Tit,Lophophanes cristatus,11.5,"Most characteristic call, given by foraging birds, a soft, slightly stuttered, purring trill, usually combined with more typically tit-like thin ""si-si"" call, thus ""si-i-si-trrrrrrrrrrrrr"".",
189,Coal Tit,Periparus ater,11.5,"Song a ringing ""pitch-u, pitch-, pitch-u..."", easily confused with Great Tit but rather faster and shriller. Has a variety of high-pitched calls, some of which recall Goldcrest.",
190,Great Tit,Parus major,14,"Song loud and ringing, a repetitive *tea-cher, tea-cher...* or similar two-note phrase, given Jan-May. Other calls highly variable and often confusing, 'if you don't recognise it, it's probably a Great Tit'.",
191,Blue Tit,Cyanistes caeruleus,11.5,"Song a clear, silvery, high-pitched trill lasting two seconds, usually introduced by 1-4 high-pitched notes: ""pee-pee-ti sihihihihihi, pee-pee-ti sihihihihihi..."". Other calls very varied.",
192,Marsh Tit,Poecile palustris,11.5,"Marsh Tit is noisy with a variety of calls including a nasal ""zee-zee-zee"", but will eventually give its characteristic sneezing ""pitch-u"". Marsh Tit's song is loud and full by very variable, usually a rattled repetition of 8-20 simple notes.",split entry with Willow Tit
192,Willow Tit,Poecile montanus,11.5,"Willow Tit is much quieter, its calls are usually limited to a thin ""sit"" or ""si-si"" and very nasal ""dzee-dzee-dzee"". Willow Tit's song is a pure, ringing, whistled ""piu-piu-piu..."" (occasionally closely matched by Marsh Tit).",splt entry with Marsh Tit
193,Nuthatch,Sitta europaea,14,"Very vocal, giving loud piping and trilling calls from tree tops, including a repeated, loud, whistled, ""dwip-dwip""; song a repetition of similar whistles, varying from slow and deliberate to fast and trilling. Contact call less conspicuous, a high thin ""tsit"".",
194,Treecreeper,Certhia familiaris,12.5,"Calls include a thin but penetrating and high-pitched, almost hissing ""tsree"", often repeated (this call is harsher than otherwise similar call of Goldcrest). Song a strident descending warble with final hurried flourish, lasts about three seconds, overall rhythm recalls Chaffich or Willow Warbler.",
195,Chough,Pyrrhocorax pyrrhocorax,40,"Noisy, the characteristic flight call is a nasal ""chaaw"", sometimes squeaky, sometimes groaning.",
196,Magpie,Pica pica,45,"A characteristic harsh, rattling ""cha-cha-cha-cha-cha"".",
197,Jay,Garrulus glandarius,34,"A loud, harsh, screeching ""shreeek, shree-shreeek"".",
198,Jackdaw,Corvus monedula,33.5,"A distinctive , explosive ""jack"" (hence it name) and buzzing ""kaarrr"".",
199,Raven,Corvus corax,64,"Very varied. Most characteristic is a deep, powerful ""pruk"", but many other calls, some rather odd.",
200,Carrion Crow,Corvus corone,46,"Abrupt, somewhat menacing ""caw, caw-caw, caw-caw-caw..."".",
200,Hooded Crow,Corvus cornix,46,"Abrupt, somewhat menacing ""caw, caw-caw, caw-caw-caw..."".",
201,Rook,Corvus frugilegus,45,"A drawn-out, crowing ""caaw, caaw-caww..."". The cacophony at a rookery can be deafening.",
