EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Baltimore Oriole,Icterus galbula,Icteridae,Passeriformes,18,"Both male and female Baltimore Orioles give a staccato chatter during aggressive encounters, such as when trying to drive an intruder out of their nesting area. The chatter call may be heard at any time of day and year. It alerts other orioles nearby and can attract them to help drive away the threat. Both male and female Baltimore Orioles also give a sharp, repetitive  "" chuck "" as an alarm call. Neighboring orioles of various species respond to each others'  "" chuck "" calls. Female Baltimore Orioles give a special, aggressive scream call when defending their nests. The pure, liquid, whistling tones of the male Baltimore Oriole are a herald of springtime in eastern North America. His song consists of a short series of paired notes, repeated 2-7 times, lasting 1-2 seconds. The flutelike sound has a full, rich tone. The male sings to establish and defend a breeding territory, so you won't hear the full song on the wintering grounds. The female Baltimore Oriole also sings. Her shorter songs may be communications with her mate. Occasionally, mated pairs may sing a duet."
Band-tailed Pigeon,Patagioenas fasciata,Columbidae,Columbiformes,36.5,"The male makes mechanical chirping calls while both males and females give a soft, nasal grunt to keep other individuals from crowding too closely. From the top of a tall tree, the male gives a slow series of deep, hooting, almost owl-like coos, each rising slightly in pitch. "
Bank Swallow,Riparia riparia,Hirundinidae,Passeriformes,13,"The typical call, often given during flight, is a harsh, guttural  "" tschr tschr "" . The Bank Swallow song, given by the male during the breeding season for territorial advertisement and courtship, and by females during pair bonding, is a twittery, bubbling chatter."
Barn Owl,Tyto alba,Tytonidae,Strigiformes,36,"Barn Owls don't hoot the way most owls do; instead, they make a long, harsh scream that lasts about 2 seconds. It's made mostly by the male, who often calls repeatedly from the air. Females give the call infrequently. A softer, more wavering version of this is termed a purring call. Males use it to invite a female to inspect a nest site, and females use it to beg for food from the male. Barn Owls also make a loud, 3-4 second hiss at intruders or predators that disturb the nest. "
Barn Swallow,Hirundo rustica,Hirundinidae,Passeriformes,17,"Barn Swallows give a  "" cheep "" call when threatened, and when predators approach too close to a nest site, a  "" churee "" whistle will send adults diving at the threat. In colonies, this call may flush all of the adults from their nests and set them circling above a predator. Males apparently may foil their mate's attempt to copulate with another male by giving a 'fake' alarm call. Both sexes also give an agitated, stuttering call when chasing other Barn Swallows away from nest sites or mates. Both male and female Barn Swallows sing a 'twitter-warble' song during courtship and egg-laying, with a long series of continuous warbling sounds followed by up to a dozen rapid, mechanical-sounding  "" whirr "" s. The song can last 4-20 seconds and is often introduced and followed by a chirp."
Barred Owl,Strix varia,Strigidae,Strigiformes,46.5,"Barred Owls have a distinctive hooting call of 8-9 notes, described as 'Who cooks for you? Who cooks for you-all?' This call carries well through the woods and is fairly easy to imitate. During courtship, mated pairs perform a riotous duet of cackles, hoots, caws and gurgles. Although the Barred Owl is not technically a songbird, its distinctive  "" Who cooks for you? ""  call (see below) functions as a song."
Barrow's Goldeneye,Bucephala islandica,Anatidae,Anseriformes,45.7,"Females traveling to and from the nest often give a low, throaty  "" cuc-cuc-cuc "" call. Courting males give a similar grunting  "" ka-kaa "" during courtship display. In flight, both sexes sometimes give a high-pitched  "" eeee "" . "
Bay-breasted Warbler,Setophaga castanea,Parulidae,Passeriformes,14,"The most commonly heard call note is a high-pitched, buzzy  "" chip "" or  "" sip "" . Males (rarely females) sing a series of up to 10 very high-pitched, sibilant  "" see "" or  "" szee "" or  "" teesi "" notes, on one pitch, difficult to hear at a distance. Early in the breeding season, but not during nesting, the final note of this song is usually accented."
Bell's Sparrow,Artemisiospiza belli,Passerellidae,Passeriformes,13.5,"Both sexes give a distinctive, bell-like  "" tink "" contact call, and use a similar, but more forceful note as an alarm call. The song is an abrupt series of several trills broken up by short chips, lasting about 2 seconds or less. Only males sing, and each male gives one song type which can vary by truncating the last syllables."
Bell's Vireo,Vireo bellii,Vireonidae,Passeriformes,12,"Bell's Vireo has numerous calls. Most often heard is a fast, nasal, scolding alarm call, which sounds wrenlike. Other calls associated with conflict or contact include  "" zip "" ,  "" churt "" ,  "" chim "" , and a high, piercing squeal. The primary song is a hurried, scratchy  "" cheedle cheedle chee? ""  "" cheedle cheedle chew!  "" —easily remembered by its two-part structure, a rising question followed by a definitive answer. Males sing incessantly during the breeding season, females very rarely. Young male Bell's Vireos also give a quiet, rambling version of the song late in the breeding season, almost as if practicing their singing. This is true of many vireo species."
Belted Kingfisher,Megaceryle alcyon,Alcedinidae,Coraciiformes,31.5,"Male and female Belted Kingfishers give strident, mechanical rattles in response to the slightest disturbance. When threatened they may give screams, which males sometimes combine with harsh calls. "
Bendire's Thrasher,Toxostoma bendirei,Mimidae,Passeriformes,24,"Calls include a low, guttural  "" chek, "" recalling the common call of Northern Mockingbird, and an inquisitive-sounding  "" quee "" . Males sing a rich, variable warble made up of repeated elements, with each part repeated 2-4 times. The song has fewer harsh phrases, trills, or whistles than songs of larger thrashers and usually lacks pauses between phrases. Females are not known to sing."
Bewick's Wren,Thryomanes bewickii,Troglodytidae,Passeriformes,13,"Foraging Bewick's Wrens stay in contact with short notes that sound like  "" plink plink "" or  "" pee "" or—from females— "" sker "" . If a male hears another male nearby, he may stop foraging, hurrying to the territorial boundary to chase the interloper away. When agitated, both males and females scold in quick, raspy notes. Immediately before roosting, the male utters series of harsh ( "" spzz "" ) notes. Only the male Bewick's Wren sings, to defend territory and attract mates. Songs vary from one geographical area to another, and a single male may possess a repertoire of 9 to 22 distinct songs. Typically, these begin with two or more high, quick introductory notes, drop into a lower, burry phrase, and end on a high trill. Variations can include additional warbles and buzzy notes. Songs last about 2 seconds."
Bicknell's Thrush,Catharus bicknelli,Turdidae,Passeriformes,16.5,"The most often heard call note is a rather harsh  "" veer "" or  "" queep "" . The nocturnal flight call is similar and generally higher in pitch than that of Gray-cheeked Thrush. Agitated birds on the nesting grounds sometimes give growling or fussing calls. Adults give a soft single or double  "" chuk "" as a contact call. Males (occasionally females) sing a four-phrased, fluting song with a whirling quality. The last phrase rises in pitch (or remains the same in pitch), unlike Gray-cheeked Thrush's song, in which the end phrase falls in pitch. The songs of these two closely related species are otherwise very similar in quality."
Black Guillemot,Cepphus grylle,Alcidae,Charadriiformes,31,"High-pitched, tremulous whistles and staccato piping calls, heard mostly on the breeding grounds. "
Black Oystercatcher,Haematopus bachmani,Haematopodidae,Charadriiformes,44.5,"High-pitched, piping or whistling notes, given singly or in rolling, stuttering, or trilling series, often sounding like an excitable  "" wheee  "" as if given by a kid on a roller coaster. "
Black Phoebe,Sayornis nigricans,Tyrannidae,Passeriformes,16,"Black Phoebes give  "" tsip "" calls throughout the year during flight, foraging, and predator interactions. When chasing mates or intruders, they give a  "" tweedle-deedle-eek "" call. During the breeding season males address females with soft, wheezy chatters. Male Black Phoebes sing a long series of repeated  "" tee-hee tee-hoo "" notes to defend territories and attract mates."
Black Rail,Laterallus jamaicensis,Rallidae,Gruiformes,12.5,"The most frequently heard call is a low, growling  "" kerrrr-kerrrr-kerrrr  "" from agitated birds defending the nest or territory. Females disturbed at the nest give a high-pitched series of nasal "" ink "" calls; males tend to give  "" kik "" calls in the same circumstances. Females may also give a Least Bittern-like  "" coo-coo-coo "" and a harsh  "" kik-kik-krrrr "" . Males (and possibly females) give a strange raspy hiss when a predator is near the nest. A barking  "" churt  "" probably serves as a contact call for both sexes. Males usually sing a rolling, froglike  "" kick-ee-kerr  "" (with the last note lower in pitch). Some males add 1-2 short notes at the beginning."
Black Rosy-Finch,Leucosticte atrata,Fringillidae,Passeriformes,15,"Black Rosy-Finches give a buzzy  "" chew "" and a higher-pitched whiny call that sounds like a cross between a House Sparrow and an American Goldfinch.  "
Black Scoter,Melanitta americana,Anatidae,Anseriformes,46,"Courting males give a mournful-sounding, descending whistle,<strong> </strong> "" wheeoooooo "" , and courting females often call in response. Another vocalization is a rattling  "" tuka-tuka-tuka-tuk "" , but this is seldom heard. ""  "" Flight calls described in this species include a low growling sound and a reedy "" tooooo-it "" , sometimes repeated. "
Black Skimmer,Rynchops niger,Laridae,Charadriiformes,45,"The only vocalization is a nasal, yapping bark, given by both sexes in many contexts and often heard from flying birds during bouts of foraging. Males give calls slightly lower in pitch than females. None."
Black Swift,Cypseloides niger,Apodidae,Caprimulgiformes,18.2,"In flight, Black Swifts make a rapid series of twittering chips.  "
Black Tern,Chlidonias niger,Laridae,Charadriiformes,29.5,"A clipped  "" kik i "" s the most commonly heard call. Nesting birds make longer "" kyew "" ,  "" kyew-dik "" , and "" kyew-ki-dik  "" calls. "
Black Turnstone,Arenaria melanocephala,Scolopacidae,Charadriiformes,23.5,"Year-round, turnstones give high-pitched, stuttering calls that make them easy to locate, even when they are camouflaged among dark rocks. They often call when flushed into flight. Nesting birds give a variety of other purring and trilling calls during courtship, conflict, and chick-rearing. Males vocalize during their display flight, a series of repeated rattling or buzzy calls that ends with a sharp, descending rattle as they come out of the display and land."
Black Vulture,Coragyps atratus,Cathartidae,Cathartiformes,64,"Black Vultures are silent most of the time. They make raspy, drawn-out hissing sounds while feeding and fighting, along with grunting noises that can sound like hungry pigs or dogs barking in the distance. Courting vultures may give a yapping sound. Nestlings give low hisses or coughs to beg for food, and adults at the nest sometimes give creaky, pigeonlike coos. "
Black-and-white Warbler,Mniotilta varia,Parulidae,Passeriformes,12,"Both male and female Black-and-white Warblers give a sharp  "" chit "" or  "" pit "" call, with many variations. Females call to mates when away from the nest, and males may call to mates in order to maintain contact. Males sing a thin, high-pitched, repetitive  "" weesy, weesy, weesy "" song that lasts about 3 seconds. On the breeding grounds, the song may be longer, faster and more varied in pitch.  Males sing a softer version of the song when near females during courtship and nest building."
Black-backed Woodpecker,Picoides arcticus,Picidae,Piciformes,23,"The most often heard call is a sharp, high  "" kyik "" or  "" pik "" . Highly agitated birds give descending 'rattle-snarls,' a very distinctive sound that begins with a high, descending whinny and ends with a mechanical-sounding growl. "
Black-bellied Plover,Pluvialis squatarola,Charadriidae,Charadriiformes,28.5,"The most commonly heard call is the mellow, mournful-sounding flight call, a far-carrying  "" pleeoooee "" , falling and then rising in tone. Males give a piping trill when landing after the aerial display, and males in conflict utter a harsh  "" kleeeeerr "" . Adults disturbed at the nest give a variety of threat and alarm calls. Males sing a burry but musical  "" kooodleeooo "" while displaying, similar to songs of golden-plovers."
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anatidae,Anseriformes,49,"A soft, high whistle with a long first note and several following notes. They give this call in flight, while standing, or while swimming. They also make a  "" chit-chit-chit "" in flight or a  "" yip "" when taking flight. "
Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculidae,Cuculiformes,29.5,"The call of males and females is a guttural croak that is often preceded by a rapid and harsh chortle.   Males and females sing a staccato series of 3 to 5 toots on the same pitch. They take a brief pause between sets, but can go on repeating sets for several minutes. They sing during, day, night and often while flying overhead. "
Black-billed Magpie,Pica hudsonia,Corvidae,Passeriformes,52.5,"Call a harsh, chattering  "" wock, wock wock-a-wock, wock, pjur, weer, weer. ""  Black-billed Magpies are very vocal birds. Their two primary vocalizations are a harsh, ascending call and a raspy chatter."
Black-capped Chickadee,Poecile atricapillus,Paridae,Passeriformes,13.5,"Chickadees make their  "" chickadee-dee-dee "" call using increasing numbers of  "" dee "" notes when they are alarmed. They also have a gargling call, often given aggressively when a lower-ranking bird gets close to a higher-ranking one; also exchanged between members of a pair. Black-capped Chickadees make a high pitched  "" see "" as a high-intensity alarm call, often when a fast-approaching predator is detected. When chickadees hear this call, they freeze in position until they hear a  "" chickadee-dee "" call signifying 'all clear.' High  "" see "" calls most often given by males. In most of North America, the song is a simple, pure 2 or 3-note whistled  "" fee-bee "" or  "" hey, sweetie "" . In the Pacific Northwest, the song is 3 or 4 notes on the same pitch; the song is also different on Martha's Vineyard in MA. In much of the range, males begin singing in mid-January, and the song increases in frequency as winter progresses. Females also sing occasionally."
Black-capped Vireo,Vireo atricapilla,Vireonidae,Passeriformes,11,"A rapid  "" jidit  "" is the most commonly heard call, amazingly similar to the call of Ruby-crowned Kinglet. Sings an incessant string of rapid, twittering 2- and 3-note phrases, rising and falling in tone, with remarkable variation."
Black-chinned Hummingbird,Archilochus alexandri,Trochilidae,Caprimulgiformes,9,"The Black-chinned Hummingbird has at least five different high-pitched chips and ticks. These are combined in various ways depending on the situation. There are only two published accounts of Black-chinned Hummingbirds singing, both of males near Austin, Texas. These songs were described as 'a sweet and low, though very high-pitched warble, like the sound produced as a result of whistling through the teeth.'"
Black-chinned Sparrow,Spizella atrogularis,Passerellidae,Passeriformes,14.6,"Male and female Black-chinned Sparrows make a high-pitched chip near the nest, when a predator is near and as an alarm call.  The male Black-chinned Sparrow's song sounds very much like a bouncing ping-pong ball. The song starts with 1-5 clear notes, followed by a long accelerating trill. The notes slur into each other as the song gets faster and faster. The trill can end on a higher pitch or a lower pitch, but it always accelerates. "
Black-crested Titmouse,Baeolophus atricristatus,Paridae,Passeriformes,15,"Call a scratchy, chickadee-like  "" tsee-day-day-day. ""  Also fussy scolding notes. Sharper and more nasal than Tufted Titmouse. Song a loud, whistled  "" peew, peew, peew, peew. "" "
Black-crowned Night-Heron,Nycticorax nycticorax,Ardeidae,Pelecaniformes,62,"Black-crowned Night-Herons give a barking squawk when disturbed. Males give a hissing  "" plup "" to attract females. When parents arrive at the nest with food they give a series of guttural notes followed by a raspy  "" woc-a-woc "" call. They also give harsh screams and hoarse clucks. "
Black-footed Albatross,Phoebastria nigripes,Diomedeidae,Procellariiformes,69,"Most common call is a nasal double-bray. Also gives long single notes and growls. Calls are generally lower, louder, and more nasal than those of Laysan Albatross. "
Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,Passeriformes,18.5,"The Black-headed Grosbeak's typical call is a sharp  "" spik "" uttered frequently to keep contact with mates while foraging. They utter an upslurring  "" wheet "" upon taking flight. Their distress call is a series of rapidly repeated notes flung out in response to imminent danger to themselves or their chicks, or in violent altercations with other grosbeaks. The Black-headed Grosbeak's whistled song rises and falls like an American Robin's, but it's longer, sweeter, more varied, and less choppy in its phrases. It's sometimes likened to that of a  "" drunk ""  or  "" operatic ""  robin. Both males and females sing. The female's song is usually shorter, simpler, and quieter. She sings less frequently than the male, usually from the nest."
Black-headed Gull,Chroicocephalus ridibundus,Laridae,Charadriiformes,35.5,"Calls harsh and scolding  "" karr ""  and  "" kek. ""  "
Black-legged Kittiwake,Rissa tridactyla,Laridae,Charadriiformes,39.5,"A nasal, repeated  "" kittiwake  "" is the most commonly heard call on the breeding grounds. Also makes other short, nasal calls between mates or between adults and chicks. "
Black-necked Stilt,Himantopus mexicanus,Recurvirostridae,Charadriiformes,37,"Most calls are sharp and rather high-pitched,  "" yap "" ,  "" keek "" , or similar, sometimes doubled and often given in series when alarmed. Quieter versions of the call, heard between adults and young, serve as contact calls.    None."
Black-tailed Gnatcatcher,Polioptila melanura,Polioptilidae,Passeriformes,12,"Both sexes frequently make low, nasal scolds as well as rapid, monotonous successions of harsh notes. Male Black-tailed Gnatcatchers occasionally sing a complex series of jumbled, warbling notes, particularly while defending their territory."
